outcome,outcome_label,profile_a,profile_b,z,p_raw,p_holm,significant_holm_0_05
e2sfca_creas,E2SFCA CREAS percentile,1,2,-0.9468002678566698,0.3437405652733876,0.6494201014667889,False
e2sfca_creas,E2SFCA CREAS percentile,1,3,-2.001184189155413,0.04537254419614054,0.2268627209807027,False
e2sfca_creas,E2SFCA CREAS percentile,1,4,-2.826091300658346,0.004711983144640464,0.028271898867842784,True
e2sfca_creas,E2SFCA CREAS percentile,2,3,-0.9848249748482383,0.32471005073339443,0.6494201014667889,False
e2sfca_creas,E2SFCA CREAS percentile,2,4,-1.9685836027710202,0.049000927047220096,0.2268627209807027,False
e2sfca_creas,E2SFCA CREAS percentile,3,4,-1.2369465756269151,0.21610691715552965,0.648320751466589,False
e2sfca_health,E2SFCA health percentile,1,2,-0.8450658455157741,0.3980740764936024,1.0,False
e2sfca_health,E2SFCA health percentile,1,3,-0.17590069533932998,0.8603719590673796,1.0,False
e2sfca_health,E2SFCA health percentile,1,4,1.8926409779088693,0.0584056303938687,0.2336225215754748,False
e2sfca_health,E2SFCA health percentile,2,3,0.780126465610216,0.4353164399126266,1.0,False
e2sfca_health,E2SFCA health percentile,2,4,2.756254703100269,0.005846744868274234,0.0350804692096454,True
e2sfca_health,E2SFCA health percentile,3,4,2.293404299901909,0.021824739313651663,0.10912369656825832,False
e2sfca_specialized_justice,E2SFCA specialized justice percentile,1,2,-2.2160822522677215,0.02668586949088868,0.05337173898177736,False
e2sfca_specialized_justice,E2SFCA specialized justice percentile,1,3,0.9825893874072887,0.3258095696792124,0.3258095696792124,False
e2sfca_specialized_justice,E2SFCA specialized justice percentile,1,4,3.5675768487837742,0.0003602977285631478,0.001801488642815739,True
e2sfca_specialized_justice,E2SFCA specialized justice percentile,2,3,3.53348030789363,0.00041012664111799314,0.001801488642815739,True
e2sfca_specialized_justice,E2SFCA specialized justice percentile,2,4,5.801242215907454,6.582543356488865e-09,3.949526013893319e-08,True
e2sfca_specialized_justice,E2SFCA specialized justice percentile,3,4,3.053124780906696,0.0022647174556531154,0.006794152366959346,True
e2sfca_specialized_security,E2SFCA specialized security percentile,1,2,2.1996926928172837,0.027828705592992338,0.08348611677897702,False
e2sfca_specialized_security,E2SFCA specialized security percentile,1,3,1.8827425425640079,0.05973526705795104,0.11947053411590208,False
e2sfca_specialized_security,E2SFCA specialized security percentile,1,4,5.0165263989005,5.261404993257664e-07,3.1568429959545987e-06,True
e2sfca_specialized_security,E2SFCA specialized security percentile,2,3,-0.5625309808065095,0.5737543016991167,0.5737543016991167,False
e2sfca_specialized_security,E2SFCA specialized security percentile,2,4,2.9898105325030193,0.0027915054019577107,0.011166021607830843,True
e2sfca_specialized_security,E2SFCA specialized security percentile,3,4,3.808934991093781,0.00013956664300855847,0.0006978332150427923,True
promethee_net_flow,PROMETHEE-II net flow,1,2,-1.681789379818618,0.09260968882668973,0.18521937765337945,False
promethee_net_flow,PROMETHEE-II net flow,1,3,-3.9548684771704576,7.657676626333088e-05,0.0003828838313166544,True
promethee_net_flow,PROMETHEE-II net flow,1,4,-4.647442471282998,3.3607577756022285e-06,2.0164546653613373e-05,True
promethee_net_flow,PROMETHEE-II net flow,2,3,-2.1616695087139526,0.030643659514467264,0.09193097854340179,False
promethee_net_flow,PROMETHEE-II net flow,2,4,-3.1017248569761366,0.0019239669166662655,0.007695867666665062,True
promethee_net_flow,PROMETHEE-II net flow,3,4,-1.359475918999511,0.17399582821659865,0.18521937765337945,False
promethee_rank,PROMETHEE-II rank,1,2,1.6817893798186168,0.09260968882668995,0.1852193776533799,False
promethee_rank,PROMETHEE-II rank,1,3,3.9548684771704576,7.657676626333088e-05,0.0003828838313166544,True
promethee_rank,PROMETHEE-II rank,1,4,4.647442471282997,3.360757775602241e-06,2.0164546653613447e-05,True
promethee_rank,PROMETHEE-II rank,2,3,2.161669508713954,0.030643659514467167,0.0919309785434015,False
promethee_rank,PROMETHEE-II rank,2,4,3.1017248569761366,0.0019239669166662655,0.007695867666665062,True
promethee_rank,PROMETHEE-II rank,3,4,1.3594759189995094,0.17399582821659898,0.1852193776533799,False
robustness_top_quartile_probability,Robust top-quartile probability,1,2,0.7418346859458421,0.458187502211997,0.4703232265274133,False
robustness_top_quartile_probability,Robust top-quartile probability,1,3,-3.21331683618596,0.0013121145818186402,0.003936343745455921,True
robustness_top_quartile_probability,Robust top-quartile probability,1,4,-3.8494686996956093,0.00011837430830655582,0.0004734972332262233,True
robustness_top_quartile_probability,Robust top-quartile probability,2,3,-4.154779768112048,3.256010033333629e-05,0.00016280050166668145,True
robustness_top_quartile_probability,Robust top-quartile probability,2,4,-4.665160446784333,3.0837632474533682e-06,1.850257948472021e-05,True
robustness_top_quartile_probability,Robust top-quartile probability,3,4,-1.1871673587432703,0.23516161326370666,0.4703232265274133,False
