outcome_label,n_complete,kruskal_H,kruskal_df,kruskal_p,kruskal_p_holm_across_outcomes,epsilon_squared,epsilon_squared_magnitude,welch_F,welch_df1,welch_df2,welch_p_sensitivity
E2SFCA CREAS percentile,143,8.968164202387094,3,0.02971716905419735,0.0594343381083947,0.042936433110698516,small,3.1113068988397097,3,68.09905581920303,0.031920447922148855
E2SFCA health percentile,143,8.256432489291546,3,0.04099890131194341,0.0594343381083947,0.0378160610740399,small,2.2487698336809037,3,68.38894420459869,0.09044152505890972
E2SFCA specialized justice percentile,143,34.64157096314999,3,1.450278676505359e-07,1.0151950735537512e-06,0.22763720117374092,large,44.648474039021785,3,70.77880554702995,2.621328928336208e-16
E2SFCA specialized security percentile,143,26.27743335797813,3,8.343194293917169e-06,3.152592461440506e-05,0.16746354933797214,large,9.661084385688227,3,68.98751700889107,2.0947498884162684e-05
PROMETHEE-II net flow,144,26.857948114381088,3,6.305184922881183e-06,3.152592461440506e-05,0.17041391510272205,large,9.642148037103679,3,69.01407374791003,2.134296355629381e-05
PROMETHEE-II rank,144,26.857948114381145,3,6.305184922881012e-06,3.152592461440506e-05,0.17041391510272247,large,10.109275257649655,3,70.04476469865422,1.2905835912196652e-05
Robust top-quartile probability,144,32.48222858703219,3,4.1413113699296143e-07,2.484786821957769e-06,0.2105873470502299,large,9.41502795340962,3,70.68073183849914,2.589600958529845e-05
