id_equipamento,ibge,cidade,nome,endereco,numero,bairro,latitude,longitude
15050098876,150500,Nova Timboteua,CREAS CASA DA ESPERANÇA,MAGALHAES BARATA  - 1251,1251,CENTRO,-1.2048238606226411,-47.38753080368043
15050397589,150503,Novo Progresso,CREAS AMIGO DO BEM,TIRADENTES - 608,608,SANTA LUZIA,-7.042748215875857,-55.41239976882935
15052098116,150520,Oeiras do Pará,CREAS,Jonnatas Athias - 000,000,Marapira,-2.003266232728721,-49.85960304748005
15054099012,150540,Ourém,CREAS MARIA LÚCIA SERRA DE SOUZA,LAZARO PICANCO - 00,00,CENTRO,-1.5488835798473852,-47.11697101593018
15054397708,150543,Ourilândia do Norte,CREAS IRMÃ TEREZINHA BACK,25 - 0000,0000,BELA VISTA,-6.747634675312324,-51.0826063156128
15054896362,150548,Pacajá,CREAS,13 de Abril - 114,114,CENTRO,-3.8371291213227408,-50.63663005828858
15056099363,150560,Peixe-boi,CREAS PEIXE-BOI,JOÃO GOMES PEDROSA - 0,0,FÁTIMA,-1.1934645115400184,-47.3148536682129
15056597800,150565,Placas,CREAS,Samuel Bomfim - 70,70,centro,-3.8698851346955028,-54.216838359570836
15057094812,150570,Ponta de Pedras,CREAS - GUIDO MARINHO,Mangabeira - 336,336,Estrada,-1.397592689256908,-48.85461330413819
15059094108,150590,Porto de Moz,CREAS - Espaço Porto Viver,Professora Nazaré Felix - 00,00,Cariny,-2.18459286401142,-52.5477505235705
15061099290,150610,Primavera,CREAS MUNICIPAL DE PRIMAVERA,MILTON QUEIROZ - 527,527,CENTRO,-0.943,-47.116
15061198936,150611,Quatipuru,CREAS ARACELI CABRERA,Santa Maria - 18,18,Centro,-0.9003912335433483,-47.0061206817627
15061698920,150616,Rio Maria,CREAS Augusto Marques de Souza,9 - 19,19,VILA VERDE,-7.32091423753412,-50.05355000495911
15061898248,150618,Rondon do Pará,CREAS,CESAR BRASIL - 399,399,CENTRO,-4.778832410437753,-48.065734863084806
15061999002,150619,Rurópolis,CREAS,MÁRIO ANDREAZZA - 380,380,LAGOA,-4.095873665802003,-54.9078941353946
15062093670,150620,Salinópolis,CREAS SAL,Ana Bela Flor  - 775,775,Bom Jesus,-0.6268237659822651,-47.35214643180372
15063097232,150630,Salvaterra,CREAS RECONSTRUINDO LAÇOS FAMILIARES,VICTOR ENGELHARD - 0,0,CENTRO,-0.757026103053063,-48.51405858993531
15063599324,150635,Santa Bárbara do Pará,CREAS,MARINA THAMER - 0,0,NOVO,-1.2230158826794189,-48.29641342163087
15065598970,150655,Santa Luzia do Pará,CREAS,Fernando Ferrari - 374,374,Centro,-1.525026943070704,-46.89690756738856
15067093826,150670,Santana do Araguaia,CREAS - Centro de Referência Especializada de Assistência Social,Gilberto Carveli - Praça Três Poderes - 0,0,Centro,-9.339029372769653,-50.33575763372938
15069099286,150690,Santarém Novo,CREAS COSTRUINDO LAÇOS/SANTARÉM NOVO-PÁ,DO BACURI - 00,00,CENTRO,-0.9300741351955637,-47.39827036857606
15070093664,150700,Santo Antônio do Tauá,CREAS,SANTA RITA DE CASSIA - 00,00,CENTRO,-1.1540443130079308,-48.133742809295654
15071098874,150710,São Caetano de Odivelas,CREAS SÃO CAETANO,JOÃO BRÁS DE SOUZA - 07,07,CENTRO,-0.7481004814423918,-48.01995277404786
