,criterion__reachable_service_fraction,criterion__services_within_120_fraction,criterion__nearest_reachable_service_time_min,criterion__median_reachable_service_time_min,criterion__health_specialized_absence,criterion__creas_absence,criterion__specialized_security_absence,criterion__specialized_justice_absence,criterion__rural_female_share
criterion__reachable_service_fraction,1.0,0.5144889241608239,0.0540155499086099,0.42219529360795993,0.055252678965726186,0.14077999936566843,-0.036959781925505995,-0.04692105010213474,-0.21002385874788476
criterion__services_within_120_fraction,0.5144889241608239,1.0,-0.17715975930697167,-0.3583578749746503,0.06877193422977872,-0.06391110877575072,-0.04070770805104269,-0.19259960454902417,-0.101144157073586
criterion__nearest_reachable_service_time_min,0.0540155499086099,-0.17715975930697167,1.0,0.3010966283504695,0.08284821295013724,0.48057948712295107,0.09579670875165422,0.05329253770212652,0.033967220117772486
criterion__median_reachable_service_time_min,0.42219529360795993,-0.3583578749746503,0.3010966283504695,1.0,-0.05794658918473982,0.29627912272063384,-0.026102956339140095,0.05647832978496666,-0.153873238989135
criterion__health_specialized_absence,0.055252678965726186,0.06877193422977872,0.08284821295013724,-0.05794658918473982,1.0,0.14438848247016295,0.2930513607323939,0.11335788048642907,0.13456099967598323
criterion__creas_absence,0.14077999936566843,-0.06391110877575072,0.48057948712295107,0.29627912272063384,0.14438848247016295,1.0,0.12651446507974953,0.05974665976677548,0.05050429776833004
criterion__specialized_security_absence,-0.036959781925505995,-0.04070770805104269,0.09579670875165422,-0.026102956339140095,0.2930513607323939,0.12651446507974953,1.0,0.472251609561908,0.44783713829052046
criterion__specialized_justice_absence,-0.04692105010213474,-0.19259960454902417,0.05329253770212652,0.05647832978496666,0.11335788048642907,0.05974665976677548,0.472251609561908,1.0,0.30150869936304153
criterion__rural_female_share,-0.21002385874788476,-0.101144157073586,0.033967220117772486,-0.153873238989135,0.13456099967598323,0.05050429776833004,0.44783713829052046,0.30150869936304153,1.0
