municipality_code,municipality_name,reference_year,reference_date,source,accessibility_coverage_status,criterion__reachable_service_fraction,criterion__services_within_120_fraction,criterion__nearest_reachable_service_time_min,criterion__median_reachable_service_time_min,diagnostic__health_specialized_unit_count,diagnostic__creas_unit_count,diagnostic__specialized_security_unit_count,diagnostic__specialized_justice_unit_count,diagnostic__health_specialized_present,criterion__health_specialized_absence,diagnostic__creas_present,criterion__creas_absence,diagnostic__specialized_security_present,criterion__specialized_security_absence,diagnostic__specialized_justice_present,criterion__specialized_justice_absence,diagnostic__institutional_pillars_present,diagnostic__institutional_pillar_deficit_fraction,institutional_reference_window,institutional_source_role,diagnostic__census_sector_count,diagnostic__female_population_observed,diagnostic__female_rural_observed,diagnostic__female_urban_observed,diagnostic__female_population_unavailable_sector_count,diagnostic__female_age_covered,diagnostic__female_15_29,diagnostic__female_30_59,diagnostic__female_60_plus,diagnostic__age_complete_sector_count,criterion__rural_female_share,diagnostic__age_female_coverage_fraction,diagnostic__female_15_29_share_age_covered,diagnostic__female_30_59_share_age_covered,diagnostic__female_60_plus_share_age_covered
1502764,Cumaru do Norte,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333334,0.0142067391196466,34.684348077500765,713.0624521609647,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,38,6305.0,3920.0,2385.0,4,4544.0,1286.0,1598.0,241.0,15,0.6217287866772403,0.7206978588421887,0.2830105633802817,0.3516725352112676,0.053036971830985914
1502772,Curionópolis,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.0580848882509739,9.770794211120936,465.2470499919213,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,50,9754.0,923.0,8831.0,0,9254.0,2390.0,3362.0,975.0,37,0.09462784498667214,0.9487389788804593,0.2582666954830344,0.3633023557380592,0.10535984439161444
1502806,Curralinho,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0039566889293665,0.0039566889293665,1.0479040552629155,1.0479040552629155,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,61,16012.0,9369.0,6643.0,4,14346.0,4430.0,4303.0,1012.0,35,0.5851236572570572,0.8959530352235823,0.30879687717830756,0.2999442353269204,0.07054231144569915
1502855,Curuá,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0257733664185277,0.0085911221395092,4.599528208990479,153.31426618913133,1,1,0,0,1,0,1,0,0,1,0,1,2,0.5,2026-08-19/2026-08-20,non_transport_response_system_presence,34,6779.0,3090.0,3689.0,0,5566.0,1522.0,1915.0,522.0,21,0.4558194423956336,0.8210650538427496,0.27344592166726556,0.3440531800215595,0.09378368666906216
1502905,Curuçá,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6190649568351354,0.2029773419383678,6.569116548591178,160.9524264723278,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,95,20507.0,7987.0,12520.0,1,19371.0,4972.0,7440.0,2633.0,74,0.38947676403179404,0.9446042814648656,0.2566723452583759,0.38407929378968564,0.13592483609519385
1502939,Dom Eliseu,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.0169654684952745,7.663618430417902,320.55899205519336,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,71,29577.0,4125.0,25452.0,0,28937.0,7864.0,11079.0,2385.0,64,0.13946647733035805,0.9783615647293505,0.27176279503749523,0.38286622663026576,0.08242043059059335
1502954,Eldorado do Carajás,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333334,0.0854215304798962,10.075487532128683,438.6068096873775,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,61,13749.0,4995.0,8754.0,0,12759.0,3243.0,4772.0,1269.0,51,0.3632991490290203,0.9279947632555094,0.25417352457089115,0.37401050239046946,0.09945920526687045
1503002,Faro,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.0087409275605996,0.0087409275605996,4.799310981175065,36.5291905692949,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,31,4239.0,697.0,3542.0,2,3453.0,995.0,1182.0,368.0,15,0.16442557206888417,0.8145789101203114,0.2881552273385462,0.3423110338835795,0.10657399362872864
1503044,Floresta do Araguaia,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333332,0.0322231515038874,15.819837770919404,606.4184190793142,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,43,8400.0,3281.0,5119.0,0,7719.0,1965.0,3059.0,735.0,33,0.3905952380952381,0.9189285714285714,0.2545666537116207,0.3962948568467418,0.0952195880295375
1503077,Garrafão do Norte,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6478350134097844,0.1403910930258844,10.61898427230987,200.1242139185413,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,62,12009.0,4875.0,7134.0,0,11239.0,3108.0,4162.0,1092.0,49,0.40594554084436674,0.9358814222666334,0.2765370584571581,0.3703176439184981,0.09716166918765015
1503093,Goianésia do Pará,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333333,0.032775297176083,12.043032614602868,295.9180773952044,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,69,12826.0,4351.0,8475.0,3,12112.0,3016.0,4805.0,1148.0,48,0.3392328083580228,0.9443318259784812,0.24900924702774108,0.3967140026420079,0.09478203434610304
1503101,Gurupá,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.004409438009438,0.004409438009438,0.9182808900904266,0.9182808900904266,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,65,15059.0,8460.0,6599.0,3,14152.0,4324.0,4228.0,1074.0,38,0.5617902915200212,0.9397702370675344,0.30553985302430753,0.29875635952515545,0.0758903335217637
1503200,Igarapé-Açu,2022,2026-08-26,IBGE Census 2022 female population + frozen Stage 2 reference-network OD,routing_ready_reachable,0.6533333333333332,0.3251173351497909,5.080859659992028,118.28915516470128,0,1,0,0,0,1,1,0,0,1,0,1,1,0.75,2026-08-19/2026-08-20,non_transport_response_system_presence,69,18030.0,5154.0,12876.0,0,17261.0,4303.0,6852.0,2342.0,58,0.2858569051580699,0.9573488630061009,0.24929030762991716,0.39696425467817625,0.13568159434563468
