indicator,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,zero_fraction,skew
criterion__reachable_service_fraction,143.0,0.4772153993446178,0.27138230274193653,0.0039566889293665,0.00420924797581836,0.0044444444444444,0.1111111111111111,0.6533333333333332,0.6533333333333333,0.6533333333333334,0.6533333333333334,0.6533333333333337,0.0,-0.9754362459034707
criterion__services_within_120_fraction,143.0,0.09402977797898701,0.09846257227331882,0.0,0.000541103397030268,0.0043391385616795,0.016452987279841298,0.0426935264065951,0.1648923462825847,0.2959879626604209,0.32708748681557254,0.3440199668359061,0.006944444444444444,0.9864350858854383
criterion__nearest_reachable_service_time_min,143.0,17.475832470289255,38.73733114478816,0.745750491933174,0.935354253529529,1.685384480585665,5.752398266525976,9.354522791361854,16.491122225954427,47.3486615213492,119.2482228587059,425.60127353856944,0.0,8.659044362314424
criterion__median_reachable_service_time_min,143.0,262.1659485109331,191.35252229405663,0.9182808900904266,0.9963001213549657,2.1825206964968924,142.6765364718832,189.4546377060238,382.190679004543,639.6124559210239,723.5401780656524,755.8674202580995,0.0,0.7926085238084798
criterion__health_specialized_absence,144.0,0.8263888888888888,0.3800968060554863,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1736111111111111,-1.7415874599306191
criterion__creas_absence,144.0,0.09027777777777778,0.2875795893348835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.9097222222222222,2.8895858618300023
criterion__specialized_security_absence,144.0,0.8611111111111112,0.347037635473619,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1388888888888889,-2.1104176934517476
criterion__specialized_justice_absence,144.0,0.9652777777777778,0.18371437410004487,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.034722222222222224,-5.1365712479149765
criterion__rural_female_share,144.0,0.3752037851123655,0.19156377469692223,0.0026638159163001,0.0035956341926321623,0.06398354160471555,0.21936876340387002,0.39003600106351605,0.5114891320187448,0.6758312349836418,0.7669561015991601,0.7923471768548763,0.0,-0.09839261486368471
