municipality_code,municipality_name,diagnostic__female_population_9514,female_15_29_count,female_30_59_count,female_60_plus_count,socio__female_age_share_15_29,socio__female_age_share_30_59,socio__female_age_share_60_plus,diagnostic__female_age_selected_share_sum
1500107,Abaetetuba - PA,78891.0,21471.0,30471.0,8358.0,0.27216032247024374,0.3862417766285128,0.10594364376164582,0.7643457428604022
1500131,Abel Figueiredo - PA,3023.0,695.0,1176.0,383.0,0.22990406880582204,0.38901753225272906,0.12669533575917963,0.7456169368177308
1500206,Acará - PA,28472.0,7590.0,10141.0,2870.0,0.2665776903624614,0.35617448721551,0.10080078673784772,0.7235529643158192
1500305,Afuá - PA,18057.0,5188.0,5413.0,1306.0,0.28731239962341476,0.29977294124162374,0.07232652157058204,0.6594118624356206
1500347,Água Azul do Norte - PA,8384.0,2144.0,3252.0,702.0,0.25572519083969464,0.38788167938931295,0.08373091603053436,0.727337786259542
1500404,Alenquer - PA,33688.0,9108.0,11318.0,3091.0,0.2703633341249109,0.3359653289004987,0.09175374020422702,0.6980824032296367
1500503,Almeirim - PA,16633.0,4532.0,5687.0,1397.0,0.27247039018818014,0.34191065953225513,0.08398965911140503,0.6983707088318403
1500602,Altamira - PA,63337.0,16647.0,25160.0,5714.0,0.2628321518227892,0.39724015978022326,0.0902158296098647,0.7502881412128772
1500701,Anajás - PA,13503.0,4069.0,3861.0,788.0,0.30134044286454864,0.2859364585647634,0.05835740205880175,0.6456343034881138
1500800,Ananindeua - PA,251474.0,58920.0,112778.0,33336.0,0.23429857559827258,0.4484678336527832,0.13256241201873753,0.8153288212697933
1500859,Anapu - PA,15245.0,4273.0,5285.0,1021.0,0.2802886192194162,0.3466710396851427,0.06697277795998688,0.6939324368645459
1500909,Augusto Corrêa - PA,21776.0,5840.0,7370.0,2143.0,0.26818515797207937,0.33844599559147687,0.09841109478324761,0.7050422483468038
1500958,Aurora do Pará - PA,11695.0,3093.0,4181.0,1130.0,0.2644719965797349,0.35750320649850365,0.09662248824283882,0.7185976913210774
1501006,Aveiro - PA,8704.0,2267.0,2754.0,882.0,0.2604549632352941,0.31640625,0.1013327205882353,0.6781939338235294
1501105,Bagre - PA,15639.0,4759.0,3954.0,729.0,0.30430334420359356,0.2528294647995396,0.0466142336466526,0.6037470426497857
1501204,Baião - PA,25724.0,7669.0,9715.0,2284.0,0.2981262634116001,0.37766288291090033,0.08878867983206344,0.7645778261545638
1501253,Bannach - PA,1867.0,460.0,736.0,189.0,0.24638457418318158,0.3942153186930905,0.10123192287091591,0.7418318157471879
1501303,Barcarena - PA,63256.0,16838.0,25380.0,5477.0,0.2661881876818009,0.40122676109776145,0.0865846718097888,0.7539996205893512
1501402,Belém - PA,692626.0,151142.0,305000.0,121569.0,0.2182158914045964,0.44035309098994263,0.17551896694608635,0.8340879493406255
1501451,Belterra - PA,8935.0,2291.0,3207.0,1127.0,0.25640738668158924,0.3589255735870173,0.12613318410744265,0.7414661443760493
1501501,Benevides - PA,32316.0,8107.0,13460.0,3520.0,0.2508664438668152,0.41651194454759255,0.10892437182819656,0.7763027602426044
1501576,Bom Jesus do Tocantins - PA,8036.0,2040.0,3114.0,964.0,0.2538576406172225,0.3875062220009955,0.11996017919362867,0.7613240418118467
1501600,Bonito - PA,6145.0,1654.0,2396.0,660.0,0.2691619202603743,0.38991049633848657,0.10740439381611067,0.7664768104149715
1501709,Bragança - PA,61501.0,15888.0,23582.0,6920.0,0.2583372628087348,0.38344091965984295,0.11251849563421733,0.7542966781027951
1501725,Brasil Novo - PA,12083.0,3107.0,4602.0,1195.0,0.2571381279483572,0.3808656790532153,0.09889927998013738,0.7369030869817099
1501758,Brejo Grande do Araguaia - PA,3344.0,792.0,1251.0,419.0,0.23684210526315788,0.3741028708133971,0.12529904306220097,0.7362440191387559
1501782,Breu Branco - PA,22612.0,6016.0,8194.0,2185.0,0.2660534229612595,0.36237396072881656,0.09663010790730586,0.7250574915973819
1501808,Breves - PA,51690.0,15149.0,15501.0,4033.0,0.2930740955697427,0.29988392338943703,0.07802282840007739,0.670980847359257
1501907,Bujaru - PA,12030.0,3269.0,4198.0,1251.0,0.271737323358271,0.34896093100581876,0.10399002493765586,0.7246882793017456
1501956,Cachoeira do Piriá - PA,9279.0,2656.0,3169.0,740.0,0.2862377411358983,0.3415238711068003,0.07974997305744154,0.7075115853001401
1502004,Cachoeira do Arari - PA,11855.0,3227.0,4207.0,1223.0,0.2722058203289751,0.35487136229439054,0.10316322226908478,0.7302404048924505
1502103,Cametá - PA,65344.0,18554.0,22650.0,6738.0,0.28394343780607245,0.34662708129285014,0.10311581782566112,0.7336863369245837
1502152,Canaã dos Carajás - PA,37692.0,10751.0,14765.0,1902.0,0.2852329406770667,0.3917276875729598,0.05046163642152181,0.7274222646715482
1502202,Capanema - PA,36044.0,8853.0,15108.0,4684.0,0.24561646876040394,0.4191543668849184,0.12995228054599933,0.7947231161913217
1502301,Capitão Poço - PA,27835.0,7457.0,10926.0,2929.0,0.2679001257409736,0.3925273935692474,0.1052272319022813,0.7656547512125023
1502400,Castanhal - PA,99750.0,25265.0,42199.0,11691.0,0.2532832080200501,0.42304761904761906,0.11720300751879699,0.7935338345864661
1502509,Chaves - PA,9639.0,2699.0,2955.0,746.0,0.28000829961614276,0.30656707127295363,0.07739392053117543,0.6639692914202718
1502608,Colares - PA,6422.0,1501.0,2456.0,881.0,0.23372781065088757,0.38243537838679537,0.13718467767050763,0.7533478667081905
1502707,Conceição do Araguaia - PA,22127.0,5215.0,8676.0,3254.0,0.23568490983865864,0.3921001491390609,0.14706015275455325,0.7748452117322728
1502756,Concórdia do Pará - PA,13331.0,3577.0,4837.0,1253.0,0.2683219563423599,0.362838496736929,0.0939914485034881,0.725151901582777
1502764,Cumaru do Norte - PA,6330.0,1738.0,2266.0,312.0,0.274565560821485,0.3579778830963665,0.04928909952606635,0.6818325434439177
1502772,Curionópolis - PA,9754.0,2504.0,3541.0,1039.0,0.25671519376665985,0.36303055156858727,0.10652040188640557,0.7262661472216526
1502806,Curralinho - PA,16040.0,4930.0,4760.0,1087.0,0.307356608478803,0.2967581047381546,0.06776807980049876,0.6718827930174562
1502855,Curuá - PA,6779.0,1856.0,2341.0,596.0,0.27378669420268475,0.3453311697890544,0.08791857206077593,0.7070364360525151
1502905,Curuçá - PA,20517.0,5232.0,7923.0,2799.0,0.2550080421114198,0.3861675683579471,0.1364234537213043,0.7775990641906712
1502939,Dom Eliseu - PA,29577.0,8024.0,11321.0,2422.0,0.271291882205768,0.3827636339047233,0.08188795347736416,0.7359434695878555
1502954,Eldorado do Carajás - PA,13749.0,3501.0,5153.0,1339.0,0.25463670085097095,0.3747908938831915,0.09738890101098262,0.7268164957451451
1503002,Faro - PA,4245.0,1240.0,1422.0,411.0,0.2921083627797409,0.334982332155477,0.09681978798586573,0.7239104829210837
1503044,Floresta do Araguaia - PA,8400.0,2161.0,3319.0,804.0,0.25726190476190475,0.3951190476190476,0.09571428571428571,0.748095238095238
1503077,Garrafão do Norte - PA,12009.0,3337.0,4433.0,1135.0,0.27787492713797984,0.3691398118078108,0.0945124489965859,0.7415271879423766
1503093,Goianésia do Pará - PA,12837.0,3176.0,5104.0,1218.0,0.2474098309573888,0.3976006855184233,0.09488198177144193,0.739892498247254
1503101,Gurupá - PA,15079.0,4617.0,4474.0,1130.0,0.306187412958419,0.2967040254658797,0.07493865640957623,0.6778300948338749
