row_a,col_a,profile_a,row_b,col_b,profile_b,euclidean_codebook_distance,cross_profile,profile_pair,delta__criterion__rural_female_share,abs_delta__criterion__rural_female_share,delta__socio__female_literacy_rate_15plus,abs_delta__socio__female_literacy_rate_15plus,delta__socio__household_per_capita_income_mean_brl,abs_delta__socio__household_per_capita_income_mean_brl,delta__profile__female_age_ilr_1,abs_delta__profile__female_age_ilr_1,delta__profile__female_age_ilr_2,abs_delta__profile__female_age_ilr_2,delta__profile__female_age_ilr_3,abs_delta__profile__female_age_ilr_3,delta__profile__female_race_ilr_1,abs_delta__profile__female_race_ilr_1,delta__profile__female_race_ilr_2,abs_delta__profile__female_race_ilr_2,delta__profile__female_race_ilr_3,abs_delta__profile__female_race_ilr_3,delta__profile__female_race_ilr_4,abs_delta__profile__female_race_ilr_4
0,0,3,0,1,3,1.4530166777480102,False,P3-P3,0.6828669753535104,0.6828669753535104,-0.7115622460800348,0.7115622460800348,0.001269160351021592,0.001269160351021592,0.8121887486548225,0.8121887486548225,0.2533300187673238,0.2533300187673238,0.10068294115975832,0.10068294115975832,0.4538174893783524,0.4538174893783524,-0.28078359963567784,0.28078359963567784,-0.3275667738793614,0.3275667738793614,-0.11213504198269936,0.11213504198269936
0,0,3,1,0,3,1.264593031099994,False,P3-P3,0.028454099778121744,0.028454099778121744,-0.2949762279925503,0.2949762279925503,0.4001327481731416,0.4001327481731416,0.39244982296940867,0.39244982296940867,0.0026238197794727913,0.0026238197794727913,0.0944568150590406,0.0944568150590406,1.0433306343173858,1.0433306343173858,-0.1858723119842277,0.1858723119842277,-0.2177383789766001,0.2177383789766001,-0.13351231716321826,0.13351231716321826
0,0,3,1,1,3,1.907614932573693,False,P3-P3,0.46826601951503355,0.46826601951503355,-0.5968099401064554,0.5968099401064554,0.3781090068574025,0.3781090068574025,1.0062283272339756,1.0062283272339756,0.2374267862868453,0.2374267862868453,0.212971554280355,0.212971554280355,1.2078672676439548,1.2078672676439548,-0.20739523996600384,0.20739523996600384,-0.4089127816730561,0.4089127816730561,-0.37038297360991135,0.37038297360991135
0,1,3,0,2,3,1.3497511473992083,False,P3-P3,0.7155451388715022,0.7155451388715022,-0.7441258918338047,0.7441258918338047,-0.2500452651560892,0.2500452651560892,0.5204604985865688,0.5204604985865688,0.3384219295523329,0.3384219295523329,0.2367755358930927,0.2367755358930927,0.06975857704631139,0.06975857704631139,-0.3611772990811736,0.3611772990811736,-0.33824689941512315,0.33824689941512315,-0.048784052957911606,0.048784052957911606
0,1,3,1,0,3,1.170050672949039,False,P3-P3,-0.6544128755753886,0.6544128755753886,0.4165860180874845,0.4165860180874845,0.39886358782212,0.39886358782212,-0.4197389256854138,0.4197389256854138,-0.250706198987851,0.250706198987851,-0.0062261261007177104,0.0062261261007177104,0.5895131449390333,0.5895131449390333,0.09491128765145013,0.09491128765145013,0.1098283949027613,0.1098283949027613,-0.021377275180518907,0.021377275180518907
0,1,3,1,1,3,0.9481714096059635,False,P3-P3,-0.2146009558384768,0.2146009558384768,0.11475230597357941,0.11475230597357941,0.3768398465063809,0.3768398465063809,0.194039578579153,0.194039578579153,-0.0159032324804785,0.0159032324804785,0.11228861312059668,0.11228861312059668,0.7540497782656025,0.7540497782656025,0.073388359669674,0.073388359669674,-0.08134600779369472,0.08134600779369472,-0.258247931627212,0.258247931627212
0,1,3,1,2,3,1.395914813552786,False,P3-P3,0.27819660227514525,0.27819660227514525,-0.30547323698832696,0.30547323698832696,0.2144043574491245,0.2144043574491245,0.5676187025388304,0.5676187025388304,0.22579615619471147,0.22579615619471147,0.40443961932428857,0.40443961932428857,0.7144563978215253,0.7144563978215253,-0.12371402145227706,0.12371402145227706,-0.5613836179795034,0.5613836179795034,-0.5951896494717185,0.5951896494717185
0,2,3,0,3,4,1.4373819661223246,True,P3-P4,0.058766393854230436,0.058766393854230436,-0.433215824470665,0.433215824470665,-0.23847052068364916,0.23847052068364916,0.47411017661622745,0.47411017661622745,0.8036020130666326,0.8036020130666326,0.7200891572317468,0.7200891572317468,0.3487138738927429,0.3487138738927429,-0.3739931865685481,0.3739931865685481,-0.4029225527622683,0.4029225527622683,-0.07187061549851148,0.07187061549851148
0,2,3,1,1,3,1.735049663618121,False,P3-P3,-0.9301460947099789,0.9301460947099789,0.8588781978073842,0.8588781978073842,0.6268851116624701,0.6268851116624701,-0.32642092000741585,0.32642092000741585,-0.3543251620328114,0.3543251620328114,-0.12448692277249601,0.12448692277249601,0.6842912012192911,0.6842912012192911,0.43456565875084757,0.43456565875084757,0.25690089162142843,0.25690089162142843,-0.20946387866930039,0.20946387866930039
0,2,3,1,2,3,1.2094611243480178,False,P3-P3,-0.43734853659635686,0.43734853659635686,0.4386526548454778,0.4386526548454778,0.4644496226052137,0.4644496226052137,0.04715820395226156,0.04715820395226156,-0.11262577335762142,0.11262577335762142,0.16766408343119588,0.16766408343119588,0.6446978207752139,0.6446978207752139,0.23746327762889652,0.23746327762889652,-0.22313671856438028,0.22313671856438028,-0.5464055965138069,0.5464055965138069
0,2,3,1,3,4,1.9147510397009968,True,P3-P4,-0.3029351546486183,0.3029351546486183,0.1554217976331279,0.1554217976331279,0.04339828848745242,0.04339828848745242,0.37559653930178627,0.37559653930178627,0.5370067400661294,0.5370067400661294,0.7378374829791713,0.7378374829791713,0.8690595362533857,0.8690595362533857,-0.3889900674476439,0.3889900674476439,-1.0293954440432285,1.0293954440432285,-0.7799850053988961,0.7799850053988961
0,3,4,0,4,4,1.4966910994499274,False,P4-P4,-0.2633033558834694,0.2633033558834694,-0.33789193570653286,0.33789193570653286,-0.2495105272693029,0.2495105272693029,0.3244134874183999,0.3244134874183999,0.8059318028765063,0.8059318028765063,0.6911172837676356,0.6911172837676356,0.6595220114464464,0.6595220114464464,-0.5119485294624531,0.5119485294624531,-0.2541267094562137,0.2541267094562137,0.016579506329993998,0.016579506329993998
0,3,4,1,2,3,1.8831643852382454,True,P3-P4,-0.4961149304505873,0.4961149304505873,0.8718684793161428,0.8718684793161428,0.7029201432888629,0.7029201432888629,-0.4269519726639659,0.4269519726639659,-0.9162277864242541,0.9162277864242541,-0.552425073800551,0.552425073800551,0.295983946882471,0.295983946882471,0.6114564641974446,0.6114564641974446,0.179785834197888,0.179785834197888,-0.47453498101529545,0.47453498101529545
0,3,4,1,3,4,1.342663045140675,False,P4-P4,-0.36170154850284875,0.36170154850284875,0.5886376221037929,0.5886376221037929,0.2818688091711016,0.2818688091711016,-0.09851363731444118,0.09851363731444118,-0.26659527300050323,0.26659527300050323,0.017748325747424465,0.017748325747424465,0.5203456623606428,0.5203456623606428,-0.014996880879095842,0.014996880879095842,-0.6264728912809602,0.6264728912809602,-0.7081143899003848,0.7081143899003848
0,3,4,1,4,4,1.7753301162935862,False,P4-P4,-0.5591518310466992,0.5591518310466992,0.48780277496452795,0.48780277496452795,-0.11169176180722051,0.11169176180722051,-0.13803260775181236,0.13803260775181236,0.1343541884924555,0.1343541884924555,0.21889360885542342,0.21889360885542342,1.082449512774965,1.082449512774965,-0.8144957782880478,0.8144957782880478,-0.7681486715099312,0.7681486715099312,-0.28026503862087293,0.28026503862087293
0,4,4,1,3,4,1.96551890845133,False,P4-P4,-0.09839819261937932,0.09839819261937932,0.9265295578103258,0.9265295578103258,0.5313793364404045,0.5313793364404045,-0.4229271247328411,0.4229271247328411,-1.0725270758770096,1.0725270758770096,-0.6733689580202111,0.6733689580202111,-0.1391763490858035,0.1391763490858035,0.4969516485833573,0.4969516485833573,-0.37234618182474644,0.37234618182474644,-0.7246938962303787,0.7246938962303787
0,4,4,1,4,4,1.5162117069592138,False,P4-P4,-0.29584847516322976,0.29584847516322976,0.8256947106710608,0.8256947106710608,0.13781876546208238,0.13781876546208238,-0.4624460951702123,0.4624460951702123,-0.6715776143840508,0.6715776143840508,-0.4722236749122122,0.4722236749122122,0.42292750132851853,0.42292750132851853,-0.3025472488255946,0.3025472488255946,-0.5140219620537174,0.5140219620537174,-0.29684454495086693,0.29684454495086693
1,0,3,1,1,3,0.9225596396713126,False,P3-P3,0.4398119197369118,0.4398119197369118,-0.3018337121139051,0.3018337121139051,-0.0220237413157391,0.0220237413157391,0.6137785042645668,0.6137785042645668,0.2348029665073725,0.2348029665073725,0.11851473922131439,0.11851473922131439,0.1645366333265692,0.1645366333265692,-0.02152292798177613,0.02152292798177613,-0.19117440269645603,0.19117440269645603,-0.23687065644669308,0.23687065644669308
1,0,3,2,0,1,1.2687594591396691,True,P1-P3,-0.43164938321156165,0.43164938321156165,-0.0074115125126076875,0.0074115125126076875,0.7639694155736154,0.7639694155736154,0.1344771641847074,0.1344771641847074,-0.040560109777752484,0.040560109777752484,0.4373944701137615,0.4373944701137615,0.72583025721346,0.72583025721346,0.21109280890034332,0.21109280890034332,-0.17155475914901175,0.17155475914901175,-0.16691690255554248,0.16691690255554248
1,0,3,2,1,3,1.3754613644809313,False,P3-P3,0.16444812218482788,0.16444812218482788,-0.2593300275515225,0.2593300275515225,0.5624507118398703,0.5624507118398703,0.5868736112336317,0.5868736112336317,0.06943146498249511,0.06943146498249511,0.3371761231514932,0.3371761231514932,0.6826469149318463,0.6826469149318463,0.16147298559785506,0.16147298559785506,-0.37144024750351623,0.37144024750351623,-0.6231136484829738,0.6231136484829738
1,1,3,1,2,3,1.0552436723106942,False,P3-P3,0.492797558113622,0.492797558113622,-0.4202255429619064,0.4202255429619064,-0.1624354890572564,0.1624354890572564,0.3735791239596774,0.3735791239596774,0.24169938867518997,0.24169938867518997,0.2921510062036919,0.2921510062036919,-0.03959338044407723,0.03959338044407723,-0.19710238112195105,0.19710238112195105,-0.4800376101858087,0.4800376101858087,-0.33694171784450655,0.33694171784450655
1,1,3,2,0,1,1.4985300895700724,True,P1-P3,-0.8714613029484735,0.8714613029484735,0.2944221996012974,0.2944221996012974,0.7859931568893546,0.7859931568893546,-0.4793013400798594,0.4793013400798594,-0.275363076285125,0.275363076285125,0.3188797308924471,0.3188797308924471,0.5612936238868907,0.5612936238868907,0.23261573688211945,0.23261573688211945,0.019619643547444277,0.019619643547444277,0.0699537538911506,0.0699537538911506
1,1,3,2,1,3,0.9893087335084922,False,P3-P3,-0.2753637975520839,0.2753637975520839,0.042503684562382606,0.042503684562382606,0.5844744531556094,0.5844744531556094,-0.0269048930309351,0.0269048930309351,-0.1653715015248774,0.1653715015248774,0.2186613839301788,0.2186613839301788,0.5181102816052771,0.5181102816052771,0.1829959135796312,0.1829959135796312,-0.1802658448070602,0.1802658448070602,-0.3862429920362807,0.3862429920362807
1,1,3,2,2,3,1.7576450134201707,False,P3-P3,0.148253830598477,0.148253830598477,-0.2527111759788034,0.2527111759788034,0.332831481246407,0.332831481246407,0.3033970838445894,0.3033970838445894,0.0912536889208166,0.0912536889208166,0.4263462004187956,0.4263462004187956,0.4796329698617381,0.4796329698617381,-0.10169470049355817,0.10169470049355817,-0.9670071593493079,0.9670071593493079,-1.1979384410653653,1.1979384410653653
1,2,3,1,3,4,1.509290295290644,True,P3-P4,0.13441338194773855,0.13441338194773855,-0.28323085721234986,0.28323085721234986,-0.4210513341177613,0.4210513341177613,0.3284383353495247,0.3284383353495247,0.6496325134237508,0.6496325134237508,0.5701733995479754,0.5701733995479754,0.2243617154781719,0.2243617154781719,-0.6264533450765404,0.6264533450765404,-0.8062587254788481,0.8062587254788481,-0.2335794088850893,0.2335794088850893
1,2,3,2,1,3,1.497117685911324,False,P3-P3,-0.768161355665706,0.768161355665706,0.46272922752428897,0.46272922752428897,0.7469099422128658,0.7469099422128658,-0.40048401699061253,0.40048401699061253,-0.40707089020006737,0.40707089020006737,-0.07348962227351308,0.07348962227351308,0.5577036620493543,0.5577036620493543,0.38009829470158224,0.38009829470158224,0.2997717653787485,0.2997717653787485,-0.049301274191774186,0.049301274191774186
1,2,3,2,2,3,1.3018379009130217,False,P3-P3,-0.34454372751514506,0.34454372751514506,0.16751436698310299,0.16751436698310299,0.4952669703036634,0.4952669703036634,-0.070182040115088,0.070182040115088,-0.15044569975437339,0.15044569975437339,0.13419519421510373,0.13419519421510373,0.5192263503058153,0.5192263503058153,0.09540768062839289,0.09540768062839289,-0.4869695491634992,0.4869695491634992,-0.8609967232208586,0.8609967232208586
1,2,3,2,3,4,2.1389075174863454,True,P3-P4,-0.16462077822247406,0.16462077822247406,0.18786572553736408,0.18786572553736408,-0.12091671335472531,0.12091671335472531,0.08509375362750948,0.08509375362750948,0.38739602365221876,0.38739602365221876,0.3615465733629438,0.3615465733629438,0.7366326393729867,0.7366326393729867,-0.734406617679848,0.734406617679848,-1.5222720092333437,1.5222720092333437,-0.9003252962132604,0.9003252962132604
1,3,4,1,4,4,1.2510444307929562,False,P4-P4,-0.19745028254385044,0.19745028254385044,-0.10083484713926494,0.10083484713926494,-0.3935605709783221,0.3935605709783221,-0.03951897043737118,0.03951897043737118,0.40094946149295874,0.40094946149295874,0.20114528310799895,0.20114528310799895,0.562103850414322,0.562103850414322,-0.7994988974089519,0.7994988974089519,-0.14167578022897098,0.14167578022897098,0.4278493512795118,0.4278493512795118
1,3,4,2,2,3,1.8343765450597065,True,P3-P4,-0.4789571094628836,0.4789571094628836,0.4507452241954528,0.4507452241954528,0.9163183044214247,0.9163183044214247,-0.3986203754646127,0.3986203754646127,-0.8000782131781241,0.8000782131781241,-0.4359782053328717,0.4359782053328717,0.2948646348276434,0.2948646348276434,0.7218610257049334,0.7218610257049334,0.3192891763153489,0.3192891763153489,-0.6274173143357693,0.6274173143357693
1,3,4,2,3,4,1.3432216621796522,False,P4-P4,-0.2990341601702126,0.2990341601702126,0.47109658274971394,0.47109658274971394,0.300134620763036,0.300134620763036,-0.24334458172201523,0.24334458172201523,-0.262236489771532,0.262236489771532,-0.2086268261850316,0.2086268261850316,0.5122709238948149,0.5122709238948149,-0.10795327260330756,0.10795327260330756,-0.7160132837544956,0.7160132837544956,-0.6667458873281711,0.6667458873281711
1,3,4,2,4,4,1.9231306790155918,False,P4-P4,-0.2927962367410955,0.2927962367410955,0.7122272862799062,0.7122272862799062,-0.20781544864639045,0.20781544864639045,-0.40377060303271783,0.40377060303271783,-0.09213678757311516,0.09213678757311516,-0.3559969654982537,0.3559969654982537,1.0629110729887272,1.0629110729887272,-1.099429411281846,1.099429411281846,-0.6307303503971532,0.6307303503971532,0.16627544309401393,0.16627544309401393
1,4,4,2,3,4,1.8645730093375306,False,P4-P4,-0.10158387762636217,0.10158387762636217,0.5719314298889788,0.5719314298889788,0.6936951917413581,0.6936951917413581,-0.20382561128464405,0.20382561128464405,-0.6631859512644908,0.6631859512644908,-0.40977210929303054,0.40977210929303054,-0.04983292651950719,0.04983292651950719,0.6915456248056443,0.6915456248056443,-0.5743375035255246,0.5743375035255246,-1.094595238607683,1.094595238607683
1,4,4,2,4,4,1.4280211446897582,False,P4-P4,-0.09534595419724506,0.09534595419724506,0.8130621334191711,0.8130621334191711,0.18574512233193163,0.18574512233193163,-0.36425163259534665,0.36425163259534665,-0.4930862490660739,0.4930862490660739,-0.5571422486062527,0.5571422486062527,0.5008072225744051,0.5008072225744051,-0.29993051387289404,0.29993051387289404,-0.4890545701681822,0.4890545701681822,-0.26157390818549786,0.26157390818549786
2,0,1,2,1,3,0.9688167929835836,True,P1-P3,0.5960975053963895,0.5960975053963895,-0.2519185150389148,0.2519185150389148,-0.20151870373374514,0.20151870373374514,0.45239644704892434,0.45239644704892434,0.1099915747602476,0.1099915747602476,-0.10021834696226828,0.10021834696226828,-0.043183342281613704,0.043183342281613704,-0.049619823302488264,0.049619823302488264,-0.19988548835450448,0.19988548835450448,-0.4561967459274313,0.4561967459274313
2,0,1,3,0,1,1.2739632949018587,False,P1-P1,-0.5669310920603876,0.5669310920603876,0.5053775368418889,0.5053775368418889,0.8441437523553357,0.8441437523553357,-0.3839001111305525,0.3839001111305525,-0.20649709254067702,0.20649709254067702,0.1954488491803728,0.1954488491803728,0.2582253233111592,0.2582253233111592,0.12016443935096699,0.12016443935096699,-0.11372604325235114,0.11372604325235114,-0.10636006783675751,0.10636006783675751
2,0,1,3,1,1,0.9073658179665001,False,P1-P1,-0.08210188598448998,0.08210188598448998,0.1800364472795966,0.1800364472795966,0.38722402771709197,0.38722402771709197,-0.2372507403446727,0.2372507403446727,-0.26368913694183005,0.26368913694183005,-0.18545935966414828,0.18545935966414828,0.2727039645796204,0.2727039645796204,-0.049324540792512805,0.049324540792512805,-0.432555299968538,0.432555299968538,-0.45836332637585,0.45836332637585
2,1,3,2,2,3,1.381433099580723,False,P3-P3,0.4236176281505609,0.4236176281505609,-0.295214860541186,0.295214860541186,-0.2516429719092024,0.2516429719092024,0.33030197687552454,0.33030197687552454,0.256625190445694,0.256625190445694,0.2076848164886168,0.2076848164886168,-0.038477311743538994,0.038477311743538994,-0.28469061407318935,0.28469061407318935,-0.7867413145422477,0.7867413145422477,-0.8116954490290844,0.8116954490290844
2,1,3,3,0,1,2.038627462842441,True,P1-P3,-1.1630285974567771,1.1630285974567771,0.7572960518808036,0.7572960518808036,1.0456624560890808,1.0456624560890808,-0.8362965581794768,0.8362965581794768,-0.3164886673009246,0.3164886673009246,0.2956671961426411,0.2956671961426411,0.3014086655927729,0.3014086655927729,0.16978426265345525,0.16978426265345525,0.08615944510215334,0.08615944510215334,0.3498366780906738,0.3498366780906738
2,1,3,3,1,1,1.3302627065872517,True,P1-P3,-0.6781993913808795,0.6781993913808795,0.43195496231851144,0.43195496231851144,0.5887427314508371,0.5887427314508371,-0.689647187393597,0.689647187393597,-0.3736807117020777,0.3736807117020777,-0.08524101270188,0.08524101270188,0.31588730686123406,0.31588730686123406,0.0002952825099754586,0.0002952825099754586,-0.2326698116140335,0.2326698116140335,-0.0021665804484186924,0.0021665804484186924
2,1,3,3,2,2,1.4799174779160558,True,P2-P3,-0.060758269308577,0.060758269308577,-0.2220027361413674,0.2220027361413674,-0.1723200903765595,0.1723200903765595,-0.48865656440271443,0.48865656440271443,-0.24714003552253572,0.24714003552253572,-0.35354585595199084,0.35354585595199084,0.45598379237781167,0.45598379237781167,-0.6610603531364958,0.6610603531364958,-0.9091582922089463,0.9091582922089463,-0.45949518899020986,0.45949518899020986
2,2,3,2,3,4,1.6083522323567176,True,P3-P4,0.179922949292671,0.179922949292671,0.020351358554261095,0.020351358554261095,-0.6161836836583887,0.6161836836583887,0.15527579374259748,0.15527579374259748,0.5378417234065921,0.5378417234065921,0.2273513791478401,0.2273513791478401,0.2174062890671714,0.2174062890671714,-0.8298142983082408,0.8298142983082408,-1.0353024600698446,1.0353024600698446,-0.03932857299240178,0.03932857299240178
2,2,3,3,1,1,2.267495459575228,True,P1-P3,-1.1018170195314405,1.1018170195314405,0.7271698228596974,0.7271698228596974,0.8403857033600395,0.8403857033600395,-1.0199491642691214,1.0199491642691214,-0.6303059021477717,0.6303059021477717,-0.2929258291904968,0.2929258291904968,0.3543646186047731,0.3543646186047731,0.2849858965831648,0.2849858965831648,0.5540715029282142,0.5540715029282142,0.8095288685806658,0.8095288685806658
2,2,3,3,2,2,1.4180625554652542,True,P2-P3,-0.4843758974591379,0.4843758974591379,0.07321212439981858,0.07321212439981858,0.07932288153264289,0.07932288153264289,-0.818958541278239,0.818958541278239,-0.5037652259682297,0.5037652259682297,-0.5612306724406076,0.5612306724406076,0.4944611041213507,0.4944611041213507,-0.3763697390633065,0.3763697390633065,-0.12241697766669857,0.12241697766669857,0.3522002600388746,0.3522002600388746
2,2,3,3,3,2,2.083674227207828,True,P2-P3,-0.1475114228096091,0.1475114228096091,-0.10526243167798063,0.10526243167798063,-0.5654125189118001,0.5654125189118001,-0.6945353910423016,0.6945353910423016,-0.28051577597331573,0.28051577597331573,-0.6868009550534725,0.6868009550534725,0.6586257128199549,0.6586257128199549,-1.2040231091600413,1.2040231091600413,-0.7189990645865066,0.7189990645865066,0.7456433299561135,0.7456433299561135
2,3,4,2,4,4,1.542728686086097,False,P4-P4,0.006237923429117109,0.006237923429117109,0.2411307035301922,0.2411307035301922,-0.5079500694094264,0.5079500694094264,-0.1604260213107026,0.1604260213107026,0.17009970219841686,0.17009970219841686,-0.14737013931322213,0.14737013931322213,0.5506401490939123,0.5506401490939123,-0.9914761386785383,0.9914761386785383,0.08528293335734238,0.08528293335734238,0.8330213304221851,0.8330213304221851
2,3,4,3,2,2,2.202903061671812,True,P2-P4,-0.664298846751809,0.664298846751809,0.05286076584555749,0.05286076584555749,0.6955065651910316,0.6955065651910316,-0.9742343350208365,0.9742343350208365,-1.041606949374822,1.041606949374822,-0.7885820515884477,0.7885820515884477,0.2770548150541793,0.2770548150541793,0.4534445592449344,0.4534445592449344,0.9128854824031459,0.9128854824031459,0.3915288330312764,0.3915288330312764
2,3,4,3,3,2,1.8450116207307654,True,P2-P4,-0.3274343721022801,0.3274343721022801,-0.12561379023224173,0.12561379023224173,0.050771164746588604,0.050771164746588604,-0.849811184784899,0.849811184784899,-0.8183574993799079,0.8183574993799079,-0.9141523342013126,0.9141523342013126,0.44121942375278345,0.44121942375278345,-0.37420881085180036,0.37420881085180036,0.31630339548333786,0.31630339548333786,0.7849719029485153,0.7849719029485153
2,3,4,3,4,2,2.191648194829159,True,P2-P4,-0.0454219724149203,0.0454219724149203,0.3569642700515706,0.3569642700515706,-0.23276760416298936,0.23276760416298936,-0.6546941588712061,0.6546941588712061,-0.7366725002717973,0.7366725002717973,-1.1017059789104227,1.1017059789104227,0.6831903370885669,0.6831903370885669,-0.8646323889384361,0.8646323889384361,0.2715139471848902,0.2715139471848902,1.0707611779413624,1.0707611779413624
2,4,4,3,3,2,1.745546811149122,True,P2-P4,-0.3336722955313972,0.3336722955313972,-0.3667444937624339,0.3667444937624339,0.558721234156015,0.558721234156015,-0.6893851634741965,0.6893851634741965,-0.9884572015783247,0.9884572015783247,-0.7667821948880904,0.7667821948880904,-0.1094207253411289,0.1094207253411289,0.617267327826738,0.617267327826738,0.23102046212599547,0.23102046212599547,-0.048049427473669803,0.048049427473669803
2,4,4,3,4,2,1.4812043672855941,True,P2-P4,-0.05165989584403741,0.05165989584403741,0.11583356652137838,0.11583356652137838,0.2751824652464371,0.2751824652464371,-0.4942681375605035,0.4942681375605035,-0.9067722024702142,0.9067722024702142,-0.9543358395972006,0.9543358395972006,0.13255018799465457,0.13255018799465457,0.12684374974010226,0.12684374974010226,0.1862310138275478,0.1862310138275478,0.23773984751917737,0.23773984751917737
3,0,1,3,1,1,0.9869368694341423,False,P1-P1,0.48482920607589763,0.48482920607589763,-0.32534108956229224,0.32534108956229224,-0.4569197246382437,0.4569197246382437,0.1466493707858798,0.1466493707858798,-0.05719204440115305,0.05719204440115305,-0.3809082088445211,0.3809082088445211,0.014478641268461184,0.014478641268461184,-0.1694889801434798,0.1694889801434798,-0.31882925671618684,0.31882925671618684,-0.3520032585390925,0.3520032585390925
3,0,1,4,0,1,1.0216691815178607,False,P1-P1,-0.18773676994435062,0.18773676994435062,0.3123037202376677,0.3123037202376677,0.17349401175858814,0.17349401175858814,-0.4496217452188187,0.4496217452188187,-0.4707687718415678,0.4707687718415678,-0.652361452481633,0.652361452481633,-0.0025547004946041008,0.0025547004946041008,0.09919527204857193,0.09919527204857193,0.0677925259296448,0.0677925259296448,0.1308761468784574,0.1308761468784574
3,0,1,4,1,1,1.3863612210175127,False,P1-P1,0.16536869773901963,0.16536869773901963,0.036950146764666014,0.036950146764666014,-0.4632126906578611,0.4632126906578611,-0.4413130582080498,0.4413130582080498,-0.48890666561009183,0.48890666561009183,-0.9430012223865392,0.9430012223865392,0.0975185252353443,0.0975185252353443,-0.3229301231082763,0.3229301231082763,-0.49179156454540784,0.49179156454540784,0.0053291874233930975,0.0053291874233930975
3,1,1,3,2,2,1.6249038476667659,True,P1-P2,0.6174411220723025,0.6174411220723025,-0.6539576984598788,0.6539576984598788,-0.7610628218273966,0.7610628218273966,0.2009906229908826,0.2009906229908826,0.12654067617954196,0.12654067617954196,-0.26830484325011084,0.26830484325011084,0.1400964855165776,0.1400964855165776,-0.6613556356464714,0.6613556356464714,-0.6764884805949127,0.6764884805949127,-0.45732860854179114,0.45732860854179114
3,1,1,4,0,1,1.5204471304343001,False,P1-P1,-0.6725659760202483,0.6725659760202483,0.63764480979996,0.63764480979996,0.6304137363968318,0.6304137363968318,-0.5962711160046985,0.5962711160046985,-0.41357672744041474,0.41357672744041474,-0.2714532436371119,0.2714532436371119,-0.017033341763065285,0.017033341763065285,0.2686842521920517,0.2686842521920517,0.38662178264583164,0.38662178264583164,0.4828794054175499,0.4828794054175499
3,1,1,4,1,1,1.1266843787081555,False,P1-P1,-0.319460508336878,0.319460508336878,0.36229123632695825,0.36229123632695825,-0.006292966019617374,0.006292966019617374,-0.5879624289939296,0.5879624289939296,-0.4317146212089388,0.4317146212089388,-0.5620930135420181,0.5620930135420181,0.08303988396688311,0.08303988396688311,-0.1534411429647965,0.1534411429647965,-0.172962307829221,0.172962307829221,0.3573324459624856,0.3573324459624856
3,1,1,4,2,2,1.932423492421595,True,P1-P2,0.12315966906083053,0.12315966906083053,-0.3204913627054887,0.3204913627054887,-0.7716924054507954,0.7716924054507954,-0.47463631506136417,0.47463631506136417,-0.41791760299817715,0.41791760299817715,-0.8758902419150817,0.8758902419150817,0.5414196817650949,0.5414196817650949,-1.0048227914696575,1.0048227914696575,-0.6865511855056048,0.6865511855056048,0.2821227623729959,0.2821227623729959
