som_row,som_col,criterion__rural_female_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl,profile__female_age_ilr_1,profile__female_age_ilr_2,profile__female_age_ilr_3,profile__female_race_ilr_1,profile__female_race_ilr_2,profile__female_race_ilr_3,profile__female_race_ilr_4
0,0,-0.3200564789269492,0.6429443920572917,-0.4530213675247532,-0.7908447753057988,-0.2055875398674589,-0.23600893377526033,-1.7835891951178675,0.7310735674781461,1.0678288059091434,0.5182945879959157
0,1,0.36281049642656116,-0.06861785402274315,-0.45175220717373166,0.021343973349023788,0.047742478899864965,-0.13532599261550204,-1.329771705739515,0.4502899678424683,0.740262032029782,0.40615954601321635
0,2,1.0783556352980632,-0.8127437458565479,-0.7017974723298208,0.5418044719355926,0.38616440845219785,0.10144954327759075,-1.2600131286932037,0.08911266876129477,0.4020151326146589,0.35737549305530475
0,3,1.1371220291522937,-1.2459595703272128,-0.9402679930134699,1.01591464855182,1.1897664215188304,0.8215387005093375,-0.9112992548004608,-0.28488051780725343,-0.0009074201476094055,0.2855048775567932
0,4,0.8738186732688242,-1.5838515060337457,-1.1897785202827729,1.34032813597022,1.9956982243953367,1.5126559842769731,-0.25177724335401447,-0.7968290472697065,-0.25503412960382316,0.3020843838867872
1,0,-0.29160237914882753,0.3479681640647414,-0.05288861935161166,-0.39839495233639016,-0.20296372008798613,-0.14155211871621975,-0.7402585608004818,0.5452012554939184,0.8500904269325433,0.3847822708326974
1,1,0.14820954058808436,0.046134451950836305,-0.07491236066735073,0.21538355192817674,0.03183924641938646,-0.02303737949490532,-0.5757219274739126,0.5236783275121423,0.6589160242360873,0.14791161438600434
1,2,0.6410070987017064,-0.37409109101107013,-0.23734784972460715,0.5889626758878541,0.27353863509457643,0.26911362670878664,-0.6153153079179898,0.3265759463901912,0.1788784140502786,-0.18903010345850224
1,3,0.7754204806494449,-0.6573219482234199,-0.6583991838423684,0.9174010112373789,0.9231711485183272,0.839287026256762,-0.3909535924398179,-0.2998773986863492,-0.6273803114285695,-0.4226095123435915
1,4,0.5779701981055945,-0.7581567953626849,-1.0519597548206905,0.8778820408000076,1.3241206100112861,1.040432309364761,0.17115025797450412,-1.099376296095301,-0.7690560916575405,0.005239838935920397
2,0,-0.7232517623603891,0.34055665155213377,0.7110807962220038,-0.2639177881516827,-0.24352382986573864,0.2958423513975418,-0.014428303587021818,0.7562940643942617,0.6785356677835316,0.21786536827715494
2,1,-0.12715425696399965,0.08863813651321899,0.5095620924882587,0.18847865889724166,-0.13353225510549102,0.1956240044352735,-0.05761164586863556,0.7066742410917735,0.4786501794290271,-0.23833137765027648
2,2,0.2964633711865613,-0.20657672402796715,0.2579191205790563,0.5187806357727661,0.12309293534020303,0.4033088209238903,-0.09608895761217459,0.42198362701858416,-0.3080911351132206,-1.0500268266793609
2,3,0.47638632047923235,-0.18622536547370602,-0.3582645630793324,0.6740564295153636,0.6609346587467951,0.6306602000717304,0.1213173314549969,-0.4078306712896568,-1.3433935951830653,-1.0893553996717626
2,4,0.4826242439083494,0.05490533805648621,-0.8662146324887589,0.513630408204661,0.831034360945212,0.4832900607585083,0.6719574805489092,-1.3993068099681951,-1.2581106618257227,-0.2563340692495776
3,0,-1.2901828544207767,0.8459341883940226,1.5552245485773395,-0.6478178992822352,-0.4500209224064156,0.4912912005779146,0.2437970197241374,0.8764585037452287,0.5648096245311804,0.1115053004403974
3,1,-0.8053536483448791,0.5205930988317303,1.0983048239390958,-0.5011685284963554,-0.5072129668075687,0.11038299173339353,0.25827566099259863,0.7069695236017489,0.2459803678149936,-0.2404979580986951
3,2,-0.18791252627257665,-0.13336459962814856,0.33724200211169925,-0.30017790550547285,-0.3806722906280267,-0.1579218515167173,0.39837214650917624,0.04561388795527768,-0.4305081127799192,-0.6978265666404863
3,3,0.14895194837695225,-0.3118391557059477,-0.3074933983327438,-0.17575475526953555,-0.15742284063311274,-0.28349213412958224,0.5625367552077803,-0.7820394821414571,-1.0270901996997273,-0.3043834967232474
3,4,0.430964348064312,0.17073890457786467,-0.5910321672423218,0.019362270644157544,-0.07573784152500222,-0.47104577883869236,0.8045076685435638,-1.2724630602280929,-1.071879647998175,-0.018594221730400297
4,0,-1.4779196243651274,1.1582379086316903,1.7287185603359276,-1.097439644501054,-0.9207896942479834,-0.16107025190371843,0.24124231922953338,0.9756537757938006,0.6326021504608252,0.24238144731885486
4,1,-1.124814156681757,0.8828843351586886,1.0920118579194784,-1.089130957490285,-0.9389275880165074,-0.4517100218086246,0.3413155449594817,0.5535283806369524,0.07301805998577261,0.11683448786379058
4,2,-0.6821939792840486,0.20010173612624163,0.3266124184883004,-0.9758048435577196,-0.9251305698057458,-0.7655072501816882,0.7996953427576935,-0.2978532678679085,-0.4405708176906112,0.041624804274300854
4,3,-0.18273500704318907,-0.09581731612725845,-0.23321443289809313,-0.6595494325006886,-0.7862838458496323,-0.9743827605417912,0.9256914015125662,-0.9102317097150556,-0.6903741108841165,0.25928454069940965
4,4,0.23467010716371053,0.3629691965933931,-0.44292362114227884,-0.36832842266304644,-0.7419215933032894,-1.1515305102549407,0.9449259058380499,-0.9575967196107931,-0.6347771112265231,0.30571251527106674
