grid_rows,grid_cols,qe_median,qe_mean,qe_sd,te_median,te_mean,te_sd,mapping_stability_mean_spearman,mapping_stability_median_spearman,mapping_stability_min_spearman,norm_qe_median,norm_te_median,norm_instability,selection_score
5,5,1.712488908535612,1.7114575141778243,0.014947119999587768,0.010416666666666666,0.0125,0.013012471594958514,0.862739931633479,0.8566768939502517,0.7998133347846258,1.0,0.0,0.0390217236941322,0.34634057456471073
6,6,1.5818879263267867,1.5828093829508387,0.01704804691492604,0.017361111111111112,0.017361111111111112,0.007500857289823912,0.7916429862471459,0.8596234320220406,0.5528495443545354,0.4047955288738368,1.0,0.0,0.4682651762912789
7,7,1.4930668636008346,1.4925750499240629,0.01282715186753502,0.017361111111111112,0.01597222222222222,0.010882091919947368,0.7461053637370191,0.7841132342951271,0.5546357828875446,0.0,1.0,1.0,0.6666666666666666
