feature,vif
profile__female_age_ilr_2,7.213749171808722
profile__female_age_ilr_3,4.161038681436627
profile__female_race_ilr_2,3.980704106076048
socio__household_per_capita_income_mean_brl,3.8869770822658447
criterion__rural_female_share,2.5297468941781878
profile__female_race_ilr_3,2.507358813005472
profile__female_age_ilr_1,2.455373852406146
profile__female_race_ilr_1,1.9734294754735646
socio__female_literacy_rate_15plus,1.6679330503916021
profile__female_race_ilr_4,1.6506548589492585
