municipality_code,municipality_name,criterion__rural_female_share,diagnostic__age_female_coverage_fraction,diagnostic__female_15_29_share_age_covered,diagnostic__female_30_59_share_age_covered,diagnostic__female_60_plus_share_age_covered,socio__race_share_branca,socio__race_share_preta,socio__race_share_parda,socio__race_share_amarela,socio__race_share_indigena,diagnostic__race_ignored_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl
1500107,Abaetetuba,0.3615996145507106,0.9763278347639756,0.271343601464897,0.3869639749616893,0.1062180203111607,0.187270842288922,0.1004817053126659,0.7092004450400788,0.0006764103471818,0.0005246921384681,0.0018459048726831,0.9076,771.33
1500131,Abel Figueiredo,0.1157790274561693,0.9606351306649024,0.2324380165289256,0.3870523415977961,0.1263774104683195,0.2001303780964798,0.1043024771838331,0.6939374185136897,0.0,0.0016297262059973,0.0,0.878,923.2
1500206,Acará,0.7659312864469894,0.909119651514087,0.2670505042698713,0.3546118474438734,0.1013563120676996,0.0963014418108195,0.1440624841163614,0.758145129864629,0.0011012656083221,0.0003896785998678,0.0,0.8572,505.33
1500305,Afuá,0.6687157335105499,0.9602370271916708,0.2862333467904723,0.301689832170252,0.0733029586481342,0.1448431086985304,0.0679729908645571,0.7861776777439428,0.000635509069244,0.000317754534622,5.2959089103667416e-05,0.8067,476.09
1500347,Água Azul do Norte,0.46772461520105,0.7937000357952512,0.2545099218280216,0.3911605532170775,0.0862898376428141,0.246183628318584,0.1011615044247787,0.6420907079646018,0.0007190265486725,0.0097345132743362,0.0001106194690265,0.9,936.7
1500404,Alenquer,0.4672406115481668,0.9251595665726584,0.270440251572327,0.3401360544217687,0.0959761262995764,0.150352422272511,0.0779076639232022,0.7706156218919815,0.000590973953904,0.0005189039595254,1.4413998875708088e-05,0.9155,562.3
1500503,Almeirim,0.3198049015475402,0.871138676461733,0.2706850072578973,0.3438169627427939,0.0890302066772655,0.1488331388564761,0.0753500583430571,0.7438156359393232,0.0003500583430571,0.0316511085180863,0.0,0.8886,773.03
1500602,Altamira,0.1580711462450593,0.8719841897233201,0.2625242507207223,0.4009210741029499,0.0943557014124345,0.2305846577815788,0.1024635925213218,0.6172681126711488,0.0026053421392313,0.0470703759136515,7.918973067572597e-06,0.9137,1245.26
1500701,Anajás,0.5467673850255499,0.9563060060727244,0.3014016882211724,0.2846743591729265,0.0594749477270967,0.1392310163864196,0.0574774195851629,0.8028274606404626,0.0002856020848952,0.0001785013030595,0.0,0.8014,524.25
1500800,Ananindeua,0.0028000828474014,0.9779418793614376,0.2335597859289851,0.4479484861073776,0.1342953495760123,0.2341502742398356,0.1119015493610817,0.6508736825835774,0.0019821295046973,0.0010610345504597,3.132976034821984e-05,0.9734,1219.88
