municipality_code,municipality_name,criterion__rural_female_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl,profile__female_age_ilr_1,profile__female_age_ilr_2,profile__female_age_ilr_3,profile__female_race_ilr_1,profile__female_race_ilr_2,profile__female_race_ilr_3,profile__female_race_ilr_4
1500107,Abaetetuba,0.3615996145507106,0.9076,771.33,-0.10184147473088151,-0.3446309769883453,0.8765616708100532,0.4908192687448423,-1.307502130617624,2.7108220852982354,2.1165125102021216
1500131,Abel Figueiredo,0.1157790274561693,0.878,923.2,0.07154444465309104,-0.3881402013002283,0.69708462518385,0.5502711053705606,-1.2894894023882881,2.769475334583265,1.96736875469928
1500206,Acará,0.7659312864469894,0.8572,505.33,0.02570582599404001,-0.22174271857726502,0.9363660753219945,-0.18774857505783146,-1.4760683245489714,2.6086084975353954,2.070787397647324
1500305,Afuá,0.6687157335105499,0.8067,476.09,0.12028156134975101,0.03478006507026402,1.2559379622447184,0.5911016899226432,-1.6645727286620466,2.5154614480583892,1.982224034816501
1500347,Água Azul do Norte,0.46772461520105,0.9,936.7,0.045346985681888156,-0.3139688896660253,1.1056871450878054,0.742336343272683,-1.1871105986250412,2.633565289136668,1.567223590412549
1500404,Alenquer,0.4672406115481668,0.9155,562.3,0.07805566880346727,-0.13231126055970593,1.030455935679415,0.5269051183615926,-1.568582451666169,2.576085914689492,2.0121463212222372
1500503,Almeirim,0.3198049015475402,0.8886,773.03,0.07189069956715259,-0.14385455134875377,1.11405424693773,0.5893049637212577,-1.576555816042581,2.591263445523283,0.7498765987262955
1500602,Altamira,0.1580711462450593,0.9137,1245.26,-0.03620947748346405,-0.3581393881598882,1.0304979538380918,0.6232216144230184,-1.1391162030292021,2.5500834510432493,0.6575214346445729
1500701,Anajás,0.5467673850255499,0.8014,524.25,0.1146140584406325,0.10901489183492744,1.453358370487391,0.6516766051976368,-1.7211610649144224,2.525334204146001,1.9734835272408475
1500800,Ananindeua,0.0028000828474014,0.9734,1219.88,-0.1683051563763353,-0.6272738333626244,0.6119477966180971,0.5636756244579364,-1.1184894609007923,2.7102445158425263,2.17583973215812
1500859,Anapu,0.4802916830902641,0.8726999999999999,765.01,0.062215509225994836,-0.1376314840168397,1.3265036198578757,0.43166885396630716,-1.2466351232275357,2.2584608653834928,1.0183848471948294
1500909,Augusto Corrêa,0.471437106484673,0.8587,479.94,0.0672843932254814,-0.15114140337899326,0.9628509848750725,0.8607031239563468,-2.0836431259497203,2.3559216328312904,1.824889049785074
1500958,Aurora do Pará,0.5545937607130613,0.8509,574.32,0.043875958984687484,-0.2207675874855,0.9769432002447879,0.1670162695671252,-1.4872776229526101,2.6190504680592963,1.950882427628209
1501006,Aveiro,0.7503762880629848,0.9243,477.87,0.14956660746319236,-0.07253548757778602,0.9347814518157811,0.47710647933646955,-1.7564347191226928,2.3197103223520914,-0.6599691123211578
1501105,Bagre,0.5889237065933364,0.8399,358.65,0.18669580667714036,0.2590937228832767,1.6474907106790675,0.1640163743071012,-1.6918711326648488,2.5881490792378172,2.022483664584966
1501204,Baião,0.4640009335252246,0.9284,460.65,-0.1669738708001989,-0.28949148402443586,1.0490806437332147,-0.4063022517333136,-1.091438083829363,2.8428395040346257,2.1509299714804553
1501253,Bannach,0.5707395498392283,0.8959999999999999,995.23,0.03303434913257875,-0.3646839659385676,0.9194763984881051,0.4885524673326531,-1.319138388457959,2.43927345560055,0.5800408452824702
1501303,Barcarena,0.1693120020235234,0.9434,975.54,-0.05576983206535787,-0.3672262381460645,1.0682986173565725,0.5850835696783343,-1.4638621208738318,2.5485890772474775,1.9448005013801695
1501402,Belém,0.0046502022549148,0.9719,1668.52,-0.19376639775157095,-0.6851267866105666,0.31213815447206,0.6287716800378335,-1.0181911845614697,2.7032076891590404,2.1666534240874507
1501451,Belterra,0.5033142343556903,0.9277,741.15,0.005840080509824516,-0.2712548257752752,0.713863049726047,0.65600825985805,-1.7777113260276347,2.2755526503879118,0.6079441487546986
1501501,Benevides,0.0476396842594025,0.9493,818.99,-0.08105365062053421,-0.4607555723532314,0.8357629992026565,0.5228616695865226,-1.335125376499876,2.6071554027984654,2.112103489821909
1501576,Bom Jesus do Tocantins,0.4095797898949475,0.8848,947.99,-0.0436050346536056,-0.3705193561966172,0.753480440480716,0.7671780052204304,-1.3160709084043885,2.507187221940347,0.35557672353342834
1501600,Bonito,0.4327095199349064,0.8465,739.25,-0.10043161172318338,-0.3605811852429965,0.861611115825364,0.8004367090961818,-1.700038096797146,2.5009245486358687,1.9883318649304809
1501709,Bragança,0.2710199834149038,0.9081,810.48,-0.03545514850462555,-0.34292054418652684,0.8193245401917351,0.7894895143496761,-1.8747245834140833,2.470771949501964,1.8800957469943946
1501725,Brasil Novo,0.4244884433766879,0.9049,763.34,0.016199145678756702,-0.31139451517772254,0.9475116819492627,0.6168015267600686,-1.1122801993697076,2.7247723586438015,1.327556549887058
1501758,Brejo Grande do Araguaia,0.4164670658682635,0.8745,766.2,0.07610637251403451,-0.3293108597368829,0.7144245387337756,0.3128689750298597,-1.3219842912581916,2.6623110374363437,1.4422475764252871
1501782,Breu Branco,0.3551682958114025,0.8692,725.32,0.0232389856200461,-0.23886374623059986,0.9757983832360354,0.36045159392387693,-1.3063251935401727,2.6782286016199537,1.9980535969255893
1501808,Breves,0.4567316063379055,0.8178,606.08,0.08180553765865332,0.028475510642839895,1.186146653299757,0.5758309652754904,-1.6002921747622207,2.507295132088231,1.9740896824106093
1501907,Bujaru,0.6316665279973376,0.8973,526.09,0.009240548336286222,-0.19889043420865557,0.90782986199559,-0.07153321140035679,-1.5176768643410052,2.642039477741747,1.9972680176203697
1501956,Cachoeira do Piriá,0.6218342493803212,0.8406999999999999,564.23,0.015275153889940642,-0.13536997628491537,1.1639312583869104,0.1015790005682836,-1.3949977191709964,2.693135010684175,1.9710545291343984
1502004,Cachoeira do Arari,0.5171686492871003,0.936,488.54,-0.00638326409691183,-0.22021773445855491,0.9142075244374523,-0.23597652584333015,-1.4964738027955924,2.635002008937999,2.0577825315918474
1502103,Cametá,0.4742318596276147,0.9159,597.9,-0.045325726462193,-0.18903902898447889,0.9162955683748466,0.6016635903090541,-1.469359495594626,2.650481308212345,2.002886049126715
1502152,Canaã dos Carajás,0.0973674433416485,0.9518,1364.4,-0.03209016139108549,-0.27756957417224326,1.5785209084165417,0.6075156550355187,-1.251843195531812,2.5577703480194347,2.100674500675943
1502202,Capanema,0.1384333638558228,0.9189,966.47,-0.12686310855656013,-0.5096357610012636,0.6538111637138159,1.010059598193703,-1.46093821558895,2.5346207766851774,2.0091869286267885
1502301,Capitão Poço,0.4256603773584905,0.8606,704.58,-0.09462417792341539,-0.3665265230101868,0.8809353728184445,0.7076263019845991,-1.7460291048728351,2.494316424362277,1.8995609845263066
1502400,Castanhal,0.0688081675224647,0.9481,1055.05,-0.14451262262885145,-0.5022779479483003,0.7564463277248292,0.7077820924118117,-1.2853964867055028,2.5089107660592904,2.1922265444482365
1502509,Chaves,0.767729207766587,0.8362999999999999,584.29,0.12896447255623836,0.0004689435880764205,1.192440095685238,0.08234120530519874,-1.424940255001566,2.523421419702578,2.016342927037324
1502608,Colares,0.5873461118902914,0.9355,655.87,0.03805771785316194,-0.3800722894509547,0.6191249719968276,0.7221569887862571,-1.60697105441415,2.6027542571130553,1.965916834312488
1502707,Conceição do Araguaia,0.2334252270981154,0.9097,1032.8,-0.03232020454962105,-0.4342743968496347,0.5422115978523695,0.40471992875340496,-1.0947184961512437,2.5845566535295776,2.0846101845380454
1502756,Concórdia do Pará,0.3666716799518724,0.8805,699.98,0.016992473537503407,-0.23658375475966403,1.0024973164794757,-0.11486913077637156,-1.2303591294183893,2.6289357964520343,2.111571137918593
1502764,Cumaru do Norte,0.6217287866772403,0.8473,1007.72,0.10421888983008279,-0.15643033623675628,1.6065147260531638,0.40632376581112895,-1.1696369021912203,2.449052013325254,-0.6601587936590921
1502772,Curionópolis,0.0946278449866721,0.8872,1036.35,0.04538849073586539,-0.25672710917131886,0.8803439682895202,0.478825760730979,-1.2403049293359936,2.7035011949462064,2.0466201490256513
1502806,Curralinho,0.5851236572570572,0.8486,472.98,0.04621806780537717,0.05533595653500222,1.318097315130515,0.6394416028337184,-1.6472701631551814,2.5448988790676466,1.971270195282184
1502855,Curuá,0.4558194423956336,0.937,556.04,0.04787037337230118,-0.16191542675329523,1.0703116236671615,0.5867025586810206,-1.8129945569211987,2.4964653375390773,1.8826296958017084
1502905,Curuçá,0.389476764031794,0.9433,614.45,-0.09674162082002308,-0.3946805373300239,0.6220248266007149,0.9143352757483006,-1.6686599041516228,2.540414002670125,1.967796224962704
