som_profile,municipality_count,promethee_rank_median,promethee_rank_mean,promethee_net_flow_mean,top10_count,top_quartile_count,top_quartile_share,mean_robust_top_quartile_probability
1,30,118.0,100.33333333333333,-0.09264063467443305,1,3,0.1,0.11454333333333334
2,33,89.0,82.63636363636364,-0.010777004081506909,0,5,0.15151515151515152,0.11985151515151515
3,53,56.0,62.64150943396226,0.03191331355024431,7,14,0.2641509433962264,0.30288301886792457
4,28,36.5,49.392857142857146,0.05155194845570609,2,14,0.5,0.4484214285714286
