som_profile,municipality_count,criterion__rural_female_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl,socio__female_age_share_15_29,socio__female_age_share_30_59,socio__female_age_share_60_plus,socio__female_race_share_branca,socio__female_race_share_preta,socio__female_race_share_parda,socio__female_race_share_amarela,socio__female_race_share_indigena
1,30,0.124830043692051,0.9239633333333334,1061.0026666666668,0.2607792831198902,0.3991727474884502,0.09927620220458587,0.21967530947006905,0.09127876376212335,0.6816211834387391,0.0019722588176943534,0.005452484511373947
2,33,0.3927658826888481,0.899860606060606,705.9954545454545,0.24546674802819332,0.38898447234173666,0.13111783029339652,0.17050785901196278,0.04891504646084165,0.7741664383575375,0.0011542704777626636,0.005256385691895249
3,53,0.42963863721626117,0.8903528301886792,744.9907547169812,0.2617350062266674,0.37133693645448007,0.0996487434664709,0.16770637938097868,0.11152506055017228,0.7061760933819577,0.0011244296900244002,0.013468036996866608
4,28,0.5197257801509025,0.8697071428571429,552.5114285714286,0.2869654038803828,0.3181982701584626,0.07517230736070832,0.14020306294350246,0.06433347435649069,0.7635232130678459,0.0012264760131155607,0.03071377361904526
