grid_rows,grid_cols,seed,quantization_error,topographic_error,seed_mapping_stability
5,5,0,1.7095804441199887,0.013888888888888888,0.853809106364217
5,5,1,1.6930777848043475,0.006944444444444444,0.8819620184531628
5,5,2,1.7153973729512357,0.020833333333333332,0.8354212300186759
5,5,3,1.70493365739664,0.006944444444444444,0.8564678109803526
5,5,4,1.6950281704039942,0.020833333333333332,0.8680092627102448
5,5,5,1.6921857518088055,0.0,0.8832080910866775
5,5,6,1.7292952716057786,0.013888888888888888,0.8853696433119472
5,5,7,1.7194880762781897,0.0,0.8715670148223253
5,5,8,1.7226200767242479,0.041666666666666664,0.8557818833231232
5,5,9,1.7329685356850146,0.0,0.8358032552640616
6,6,0,1.5880859989966567,0.006944444444444444,0.8167497081908892
6,6,1,1.5708853355393524,0.006944444444444444,0.8533528523556826
6,6,2,1.5796398720517064,0.020833333333333332,0.8080014216421644
6,6,3,1.5727021553710763,0.013888888888888888,0.8471178139441822
6,6,4,1.5841359806018669,0.020833333333333332,0.6862899129010392
6,6,5,1.560861394047695,0.013888888888888888,0.8368594505303704
6,6,6,1.5632298819427968,0.027777777777777776,0.5766814622603201
6,6,7,1.6001089785889862,0.013888888888888888,0.8379223059887756
6,6,8,1.6154109155843994,0.027777777777777776,0.826659946761359
6,6,9,1.5930333167838509,0.020833333333333332,0.8267949878966756
7,7,0,1.4877000150174107,0.006944444444444444,0.8039813925188645
7,7,1,1.473597525113109,0.020833333333333332,0.7874921765207498
7,7,2,1.4934016615257433,0.0,0.7983811993205437
7,7,3,1.4900900179485912,0.020833333333333332,0.6523094856527388
7,7,4,1.5059090473917176,0.027777777777777776,0.6477280845662516
7,7,5,1.5034281866129804,0.006944444444444444,0.7720390524003198
7,7,6,1.469986063214198,0.034722222222222224,0.6155458421974831
7,7,7,1.5054551769697244,0.013888888888888888,0.7852131960568768
7,7,8,1.4927320656759258,0.006944444444444444,0.7978113635152523
7,7,9,1.5034507397712287,0.020833333333333332,0.8005518446211097
