feature,mean,std_population
criterion__rural_female_share,0.3752037851123655,0.19089746389654383
socio__female_literacy_rate_15plus,0.8955194444444443,0.03658307759549523
socio__household_per_capita_income_mean_brl,764.4636111111112,221.23837523011213
profile__female_age_ilr_1,-0.0002689097151081323,0.07562780137227473
profile__female_age_ilr_2,-0.28036022947821376,0.16028651399597224
profile__female_age_ilr_3,0.9460666555691692,0.2691327414050317
profile__female_race_ilr_1,0.505367732412646,0.3071842618308506
profile__female_race_ilr_2,-1.4440642758675226,0.24352545488759678
profile__female_race_ilr_3,2.577053391149816,0.1260101225301764
profile__female_race_ilr_4,1.7483419917705558,0.6121793707215479
