som_profile,municipalities,neurons,criterion__rural_female_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl,profile__female_age_ilr_1,profile__female_age_ilr_2,profile__female_age_ilr_3,profile__female_race_ilr_1,profile__female_race_ilr_2,profile__female_race_ilr_3,profile__female_race_ilr_4
1,30,5,-1.1100313985957968,0.7622261347609647,1.2202811749123101,-0.7331766636798416,-0.605698005345226,0.06628066578498185,0.20099871153043478,0.7691828664260766,0.4646632646174333,0.15136835103821072
2,33,6,-0.016553489238023304,0.1335133383618268,-0.24018781413719262,-0.47108730220145456,-0.6412364126522964,-0.8551024678771331,0.8516879903807293,-0.826304322723186,-0.6862507265197667,0.12459135809065768
3,53,8,0.25997677201402647,-0.09608695189849425,-0.09556235276387104,0.19556937788575854,0.05713809398981477,0.08960206981462766,-0.7015130244890676,0.4659824527395602,0.44358791429492206,-0.03984662391491545
4,28,6,0.6875965621943175,-0.724672543642055,-0.9008004086623804,0.8909247035505672,1.2309682622864497,0.9228433863000226,0.02737419024199122,-0.8555554113248179,-0.7524411165116697,-0.1428455211987066
