k,silhouette_nodes,inertia,min_municipalities_per_profile
2,0.3038731746858066,69.60463549494898,55
3,0.3284231222756718,48.2749798075746,33
4,0.3639814875922685,32.800729283958944,28
5,0.32846961556629417,27.4176476371287,10
6,0.304574892890073,22.074422759202605,10
