som_profile,criterion__rural_female_share,socio__female_literacy_rate_15plus,socio__household_per_capita_income_mean_brl,socio__female_age_share_15_29,socio__female_age_share_30_59,socio__female_age_share_60_plus,socio__female_race_share_branca,socio__female_race_share_preta,socio__female_race_share_parda,socio__female_race_share_amarela,socio__female_race_share_indigena
1,-1.3115613812240254,0.7775149265296251,1.3403599409330433,-0.0918031192146577,0.8126634640803453,-0.1036380211567776,1.0854564540747187,0.20683223016466679,-0.6698425940474965,0.539107900491184,-0.1441844993615336
2,0.0919975426493895,0.1186658395491657,-0.2642767399861951,-0.8185149491457493,0.5203546831167406,1.097548121306095,-0.07859010762516846,-0.9620896733280622,0.6727840242360703,-0.14510033038555478,-0.14780147259045076
3,0.28515230633653893,-0.1412296229664765,-0.0880175348145459,-0.04644581660771654,0.014034464244419132,-0.08958436158812058,-0.1449155465432983,0.7654786683857259,-0.31360525126586813,-0.17006072601670838,0.0036595255646690913
4,0.7570660819090828,-0.7055803744209834,-0.9580263022598547,1.1509541135163817,-1.510551252507756,-1.012927721579551,-0.7960605751362915,-0.5366563253413362,0.5183744049544861,-0.08470384404023691,0.3217510257644081
