municipality_code,municipality_name,som_profile,promethee_rank,promethee_net_flow,top_10,top_quartile,robustness_top_quartile_probability
1505700,Ponta de Pedras,3,46,0.0584244454483392,False,False,0.3313
1505809,Portel,4,42,0.0631857290009637,False,False,0.409
1505908,Porto de Moz,4,110,-0.0507045249595508,False,False,0.0755
1506005,Prainha,4,20,0.0954663631460132,False,True,0.8168
1506104,Primavera,2,96,-0.0251032851019016,False,False,0.0
1506112,Quatipuru,2,102,-0.0387152746541249,False,False,0.0
1506138,Redenção,1,135,-0.1993554131670623,False,False,0.0162
1506161,Rio Maria,1,54,0.0376067364432616,False,False,0.2888
1506187,Rondon do Pará,1,65,0.0216065136448735,False,False,0.0409
1506195,Rurópolis,3,107,-0.0483237358608583,False,False,0.016
1506203,Salinópolis,2,106,-0.0465445754759588,False,False,0.0
1506302,Salvaterra,3,55,0.0374121950678801,False,False,0.1906
1506351,Santa Bárbara do Pará,3,100,-0.0357903962854864,False,False,0.0
1506401,Santa Cruz do Arari,3,2,0.2584090483161511,True,True,0.911
1506500,Santa Izabel do Pará,1,115,-0.0591047538289942,False,False,0.0
1506559,Santa Luzia do Pará,2,88,-0.0117057109093074,False,False,0.0
1506583,Santa Maria das Barreiras,3,3,0.2186650072098575,True,True,0.9396
1506609,Santa Maria do Pará,2,114,-0.051222359434999,False,False,0.0
1506708,Santana do Araguaia,1,105,-0.0440317639312227,False,False,0.1759
1506807,Santarém,1,141,-0.2874133144108451,False,False,0.0
1506906,Santarém Novo,2,68,0.0118922976137057,False,False,0.0819
1507003,Santo Antônio do Tauá,2,101,-0.0366320889990557,False,False,0.0
1507102,São Caetano de Odivelas,2,84,-0.0064900141923871,False,False,0.0
1507151,São Domingos do Araguaia,3,66,0.0207350615002259,False,False,0.1072
1507201,São Domingos do Capim,3,62,0.0262748789894589,False,False,0.1606
1507300,São Félix do Xingu,3,90,-0.0152759996342501,False,False,0.2372
1507409,São Francisco do Pará,2,94,-0.0207153848964647,False,False,0.0
1507458,São Geraldo do Araguaia,3,53,0.0391214173313815,False,False,0.2639
1507466,São João da Ponta,2,57,0.0335587425663323,False,False,0.2163
1507474,São João de Pirabas,2,92,-0.0190956498144693,False,False,0.0
1507508,São João do Araguaia,3,47,0.0566145771507987,False,False,0.4284
1507607,São Miguel do Guamá,3,113,-0.0512126526526679,False,False,0.0
1507706,São Sebastião da Boa Vista,4,38,0.0678956590170929,False,False,0.4833
1507755,Sapucaia,1,10,0.1401018858586221,True,True,0.686
1507805,Senador José Porfírio,4,1,0.2604714688433681,True,True,0.9887
1507904,Soure,3,125,-0.09977238095674,False,False,0.0236
1507953,Tailândia,1,87,-0.0105492263458496,False,False,0.0045
1507961,Terra Alta,2,22,0.0934273457971076,False,True,0.4634
1507979,Terra Santa,2,64,0.0235380434844495,False,False,0.1243
1508001,Tomé-Açu,4,80,-0.0022495292283392,False,False,0.0
1508035,Tracuateua,2,70,0.0105405011961246,False,False,0.0441
1508050,Trairão,3,5,0.2084886889234546,True,True,0.985
1508084,Tucumã,1,52,0.041340670303923,False,False,0.3312
1508100,Tucuruí,1,127,-0.1225935481389837,False,False,0.0
1508126,Ulianópolis,1,76,0.0065462724639297,False,False,0.0001
1508159,Uruará,3,43,0.0631741381021833,False,False,0.2385
1508209,Vigia,2,103,-0.0396709852178375,False,False,0.0
1508308,Viseu,4,121,-0.0887833211730585,False,False,0.0002
1508357,Vitória do Xingu,3,97,-0.0286897834214388,False,False,0.0745
1508407,Xinguara,1,123,-0.0928530029718143,False,False,0.0399
