grid_rows,grid_cols,seed,quantization_error,topographic_error,seed_mapping_stability,norm_quantization_error,norm_topographic_error,norm_instability,representative_score
5,5,5,1.6921857518088055,0.0,0.8832080910866775,0.0,0.0,0.043275693515591386,0.014425231171863796
5,5,1,1.6930777848043475,0.006944444444444444,0.8819620184531628,0.021872783335478513,0.16666666666666666,0.06822288505495883,0.08558744501903466
5,5,4,1.6950281704039942,0.020833333333333332,0.8680092627102448,0.06969653184580381,0.5,0.3475662079548193,0.3057542466002077
5,5,7,1.7194880762781897,0.0,0.8715670148223253,0.6694571060243668,0.0,0.27633767680626714,0.3152649276102113
5,5,3,1.70493365739664,0.006944444444444444,0.8564678109803526,0.31258056405686224,0.16666666666666666,0.5786336427124905,0.3526269578120065
5,5,6,1.7292952716057786,0.013888888888888888,0.8853696433119472,0.9099310118116068,0.3333333333333333,0.0,0.4144214483816467
5,5,0,1.7095804441199887,0.013888888888888888,0.853809106364217,0.4265204740309664,0.3333333333333333,0.631862653222295,0.4639054868621983
5,5,9,1.7329685356850146,0.0,0.8358032552640616,1.0,0.0,0.9923516039810371,0.6641172013270124
5,5,2,1.7153973729512357,0.020833333333333332,0.8354212300186759,0.5691524446414966,0.5,1.0,0.6897174815471656
5,5,8,1.7226200767242479,0.041666666666666664,0.8557818833231232,0.7462542284465388,1.0,0.5923663643747783,0.7795401976071057
