municipality_code,municipality_name,socio__female_literacy_rate_15plus,diagnostic__female_illiteracy_rate_15plus
1505700,Ponta de Pedras - PA,0.9055,0.09450000000000003
1505809,Portel - PA,0.7942,0.20579999999999998
1505908,Porto de Moz - PA,0.8809,0.11909999999999998
1506005,Prainha - PA,0.9083,0.0917
1506104,Primavera - PA,0.8896,0.11040000000000005
1506112,Quatipuru - PA,0.8554,0.14459999999999995
1506138,Redenção - PA,0.9265000000000001,0.0734999999999999
1506161,Rio Maria - PA,0.894,0.10599999999999998
1506187,Rondon do Pará - PA,0.9070999999999999,0.0929000000000001
1506195,Rurópolis - PA,0.8956999999999999,0.10430000000000006
1506203,Salinópolis - PA,0.9297,0.07030000000000003
1506302,Salvaterra - PA,0.9476,0.0524
1506351,Santa Bárbara do Pará - PA,0.9264,0.0736
1506401,Santa Cruz do Arari - PA,0.9412999999999999,0.058700000000000085
1506500,Santa Izabel do Pará - PA,0.935,0.06499999999999995
1506559,Santa Luzia do Pará - PA,0.857,0.14300000000000002
1506583,Santa Maria das Barreiras - PA,0.9064,0.09360000000000002
1506609,Santa Maria do Pará - PA,0.8706,0.12939999999999996
1506708,Santana do Araguaia - PA,0.9097,0.09030000000000005
1506807,Santarém - PA,0.9588,0.041200000000000014
1506906,Santarém Novo - PA,0.8916,0.10840000000000005
1507003,Santo Antônio do Tauá - PA,0.9231,0.07689999999999997
1507102,São Caetano de Odivelas - PA,0.9245,0.07550000000000001
1507151,São Domingos do Araguaia - PA,0.8576999999999999,0.1423000000000001
1507201,São Domingos do Capim - PA,0.8622,0.13780000000000003
1507300,São Félix do Xingu - PA,0.9116,0.08840000000000003
1507409,São Francisco do Pará - PA,0.9117000000000001,0.08829999999999993
1507458,São Geraldo do Araguaia - PA,0.8913,0.10870000000000002
1507466,São João da Ponta - PA,0.9248000000000001,0.07519999999999993
1507474,São João de Pirabas - PA,0.8692,0.13080000000000003
1507508,São João do Araguaia - PA,0.8283,0.17169999999999996
1507607,São Miguel do Guamá - PA,0.8976000000000001,0.10239999999999994
1507706,São Sebastião da Boa Vista - PA,0.9109999999999999,0.08900000000000008
1507755,Sapucaia - PA,0.8806999999999999,0.11930000000000007
1507805,Senador José Porfírio - PA,0.875,0.125
1507904,Soure - PA,0.9584,0.04159999999999997
1507953,Tailândia - PA,0.905,0.09499999999999997
1507961,Terra Alta - PA,0.9137000000000001,0.08629999999999993
1507979,Terra Santa - PA,0.9541,0.04590000000000005
1508001,Tomé-Açu - PA,0.9026000000000001,0.09739999999999993
1508035,Tracuateua - PA,0.8656999999999999,0.13430000000000009
1508050,Trairão - PA,0.8975,0.10250000000000004
1508084,Tucumã - PA,0.9188,0.08120000000000005
1508100,Tucuruí - PA,0.9265000000000001,0.0734999999999999
1508126,Ulianópolis - PA,0.905,0.09499999999999997
1508159,Uruará - PA,0.8962,0.1038
1508209,Vigia - PA,0.9329000000000001,0.06709999999999994
1508308,Viseu - PA,0.857,0.14300000000000002
1508357,Vitória do Xingu - PA,0.8762000000000001,0.12379999999999991
1508407,Xinguara - PA,0.9163,0.0837
