profile_pair,boundary_edge_count,mean_boundary_distance,median_boundary_distance,min_boundary_distance,max_boundary_distance
P2-P4,5,1.8932628111332908,1.8450116207307654,1.4812043672855941,2.202903061671812
P1-P2,4,1.8304106418952426,1.7786636700441805,1.6011981918009799,2.16311703569163
P3-P4,7,1.7608891401792828,1.8343765450597065,1.4373819661223246,2.1389075174863454
P2-P3,3,1.6605514201963791,1.4799174779160558,1.4180625554652542,2.083674227207828
P1-P3,6,1.5620819951163742,1.414396398078662,0.9688167929835836,2.267495459575228
