service_type,municipality_code,municipality_name,e2sfca_score,routing_ready_origins,routing_ready_female_population,configuration
creas,1505064,Novo Repartimento,4.450937809686415e-05,93,21996.0,reference_step_120
creas,1505106,Óbidos,8.189166187014421e-05,74,18742.0,reference_step_120
creas,1505205,Oeiras do Pará,0.00010363662161544028,50,10899.0,reference_step_120
creas,1505304,Oriximiná,4.6790158939077764e-05,65,25385.0,reference_step_120
creas,1505403,Ourém,5.963000760721814e-05,47,8650.0,reference_step_120
creas,1505437,Ourilândia do Norte,5.987704225866269e-05,62,15106.0,reference_step_120
creas,1505486,Pacajá,6.399426411438909e-05,64,14166.0,reference_step_120
creas,1505494,Palestina do Pará,3.024862892126392e-05,13,2963.0,reference_step_120
creas,1505502,Paragominas,2.6950152183351364e-05,198,51977.0,reference_step_120
creas,1505536,Parauapebas,1.531525442084459e-05,444,132408.0,reference_step_120
creas,1505551,Pau D'Arco,6.950844733387018e-05,13,2610.0,reference_step_120
creas,1505601,Peixe-Boi,5.51473076720622e-05,22,4059.0,reference_step_120
creas,1505635,Piçarra,2.5076834529792735e-05,28,4910.0,reference_step_120
creas,1505650,Placas,6.910717713877748e-05,31,5696.0,reference_step_120
creas,1505700,Ponta de Pedras,0.00012434717731907486,25,8042.0,reference_step_120
creas,1505809,Portel,6.410667350471184e-05,29,15599.0,reference_step_120
creas,1505908,Porto de Moz,7.829547791997192e-09,24,10600.0,reference_step_120
creas,1506005,Prainha,2.8794886093811683e-05,49,12430.0,reference_step_120
creas,1506104,Primavera,4.6156364138430194e-05,21,5030.0,reference_step_120
creas,1506112,Quatipuru,3.665955695853737e-05,23,5675.0,reference_step_120
creas,1506138,Redenção,6.336885682463829e-05,162,42397.0,reference_step_120
creas,1506161,Rio Maria,4.450682824582153e-05,31,8402.0,reference_step_120
creas,1506187,Rondon do Pará,3.441408644393978e-05,62,22229.0,reference_step_120
creas,1506195,Rurópolis,6.072383496753088e-05,53,15024.0,reference_step_120
creas,1506203,Salinópolis,3.54336230903979e-05,73,21950.0,reference_step_120
creas,1506302,Salvaterra,9.16590284142988e-05,55,10910.0,reference_step_120
creas,1506351,Santa Bárbara do Pará,2.729729209802334e-05,44,10013.0,reference_step_120
creas,1506401,Santa Cruz do Arari,0.0,8,2852.0,reference_step_120
creas,1506500,Santa Izabel do Pará,4.25426716886486e-05,115,32345.0,reference_step_120
creas,1506559,Santa Luzia do Pará,4.902938044966853e-05,46,8898.0,reference_step_120
creas,1506583,Santa Maria das Barreiras,5.238586325095088e-05,38,6519.0,reference_step_120
creas,1506609,Santa Maria do Pará,6.339556489013707e-05,56,12204.0,reference_step_120
creas,1506708,Santana do Araguaia,5.040576641967841e-05,73,14754.0,reference_step_120
creas,1506807,Santarém,1.8921950034283888e-05,529,156731.0,reference_step_120
creas,1506906,Santarém Novo,4.739300062407083e-05,16,2457.0,reference_step_120
creas,1507003,Santo Antônio do Tauá,2.9644384174631102e-05,55,13411.0,reference_step_120
creas,1507102,São Caetano de Odivelas,1.7266665329651738e-05,42,7848.0,reference_step_120
creas,1507151,São Domingos do Araguaia,4.8940113976549785e-05,33,9615.0,reference_step_120
creas,1507201,São Domingos do Capim,3.404136970900555e-05,44,10381.0,reference_step_120
creas,1507300,São Félix do Xingu,3.2866051179548115e-05,128,25504.0,reference_step_120
creas,1507409,São Francisco do Pará,5.008436108426829e-05,27,6944.0,reference_step_120
creas,1507458,São Geraldo do Araguaia,2.705321381961065e-05,47,10931.0,reference_step_120
creas,1507466,São João da Ponta,2.004955880999729e-05,18,2001.0,reference_step_120
creas,1507474,São João de Pirabas,4.1435955906231136e-05,36,8770.0,reference_step_120
creas,1507508,São João do Araguaia,4.862539682996547e-05,33,5932.0,reference_step_120
