municipality_code,municipality_name,total_origins,routing_ready_origins,total_female_population,routing_ready_female_population,origin_coverage_fraction,female_population_coverage_fraction
1501758,Brejo Grande do Araguaia,22,17,3340.0,2980.0,0.7727272727272727,0.8922155688622755
1501956,Cachoeira do Piriá,54,46,9279.0,8304.0,0.8518518518518519,0.8949240219851277
1508126,Ulianópolis,58,50,18961.0,17003.0,0.8620689655172413,0.8967354042508306
1503077,Garrafão do Norte,62,52,12009.0,10813.0,0.8387096774193549,0.9004080273128487
1500909,Augusto Corrêa,97,85,21759.0,19652.0,0.8762886597938144,0.9031665058136863
1506302,Salvaterra,68,55,12062.0,10910.0,0.8088235294117647,0.9044934505057205
1501709,Bragança,227,195,61501.0,55750.0,0.8590308370044053,0.9064893253768231
1501303,Barcarena,260,238,63256.0,57552.0,0.9153846153846154,0.9098267358037182
1507458,São Geraldo do Araguaia,59,47,12002.0,10931.0,0.7966101694915254,0.9107648725212465
1508001,Tomé-Açu,133,117,33112.0,30224.0,0.8796992481203008,0.912780864943223
1500602,Altamira,346,254,63164.0,57798.0,0.7341040462427746,0.9150465455006016
1501782,Breu Branco,93,79,22609.0,20704.0,0.8494623655913979,0.9157415188641691
1502707,Conceição do Araguaia,94,79,22127.0,20299.0,0.8404255319148937,0.9173859990057396
1502756,Concórdia do Pará,79,66,13298.0,12238.0,0.8354430379746836,0.9202887652278539
1501402,Belém,2048,1874,692443.0,637628.0,0.9150390625,0.9208382495021251
1503200,Igarapé-Açu,69,61,18030.0,16638.0,0.8840579710144928,0.9227953410981697
1502301,Capitão Poço,145,132,27825.0,25741.0,0.9103448275862069,0.9251033243486073
1507151,São Domingos do Araguaia,39,33,10370.0,9615.0,0.8461538461538461,0.9271938283510125
1506161,Rio Maria,36,31,9059.0,8402.0,0.8611111111111112,0.9274754387901535
1501576,Bom Jesus do Tocantins,51,35,7996.0,7433.0,0.6862745098039216,0.9295897948974488
1506807,Santarém,629,529,168525.0,156731.0,0.8410174880763116,0.9300163180537012
1507508,São João do Araguaia,38,33,6374.0,5932.0,0.868421052631579,0.9306557891433951
1503408,Inhangapi,30,27,5096.0,4748.0,0.9,0.9317111459968603
1508084,Tucumã,77,69,19792.0,18469.0,0.8961038961038961,0.9331548100242523
1507466,São João da Ponta,19,18,2143.0,2001.0,0.9473684210526315,0.9337377508166123
1508050,Trairão,39,31,7218.0,6744.0,0.7948717948717948,0.9343308395677473
1502954,Eldorado do Carajás,61,55,13749.0,12850.0,0.9016393442622951,0.9346134264310132
1503002,Faro,23,21,4239.0,3965.0,0.9130434782608695,0.9353621137060627
1506104,Primavera,22,21,5369.0,5030.0,0.9545454545454546,0.9368597504190724
1506708,Santana do Araguaia,87,73,15739.0,14754.0,0.8390804597701149,0.9374166084249317
1504422,Marituba,229,218,57061.0,53590.0,0.9519650655021834,0.9391703615429102
1507607,São Miguel do Guamá,112,100,26705.0,25115.0,0.8928571428571429,0.9404605879048867
1506351,Santa Bárbara do Pará,47,44,10602.0,10013.0,0.9361702127659575,0.9444444444444444
1505007,Nova Timboteua,33,31,6303.0,5955.0,0.9393939393939394,0.9447881960970966
1507409,São Francisco do Pará,29,27,7348.0,6944.0,0.9310344827586207,0.945019052803484
1501501,Benevides,189,181,32305.0,30532.0,0.9576719576719577,0.94511685497601
1507953,Tailândia,132,123,35915.0,33966.0,0.9318181818181818,0.945732980648754
1505437,Ourilândia do Norte,70,62,15916.0,15106.0,0.8857142857142857,0.9491078160341795
1504208,Marabá,510,474,133695.0,127275.0,0.9294117647058824,0.9519802535622125
1502608,Colares,38,33,6417.0,6118.0,0.868421052631579,0.953405017921147
1508407,Xinguara,98,92,26303.0,25086.0,0.9387755102040817,0.9537315135155686
1503804,Jacundá,95,86,19203.0,18315.0,0.9052631578947369,0.953757225433526
1508209,Vigia,103,100,25134.0,24110.0,0.970873786407767,0.9592583751094136
1500131,Abel Figueiredo,13,11,3023.0,2904.0,0.8461538461538461,0.9606351306649025
1507102,São Caetano de Odivelas,45,42,8165.0,7848.0,0.9333333333333333,0.9611757501530924
1503606,Itaituba,228,202,61001.0,58684.0,0.8859649122807017,0.96201701611449
1508100,Tucuruí,181,158,46128.0,44448.0,0.8729281767955801,0.963579604578564
1504406,Marapanim,85,77,12921.0,12496.0,0.9058823529411765,0.967107808993112
1506500,Santa Izabel do Pará,120,115,33372.0,32345.0,0.9583333333333334,0.9692256981900995
