municipality_code,municipality_name,accessibility_coverage_status,promethee_positive_flow,promethee_negative_flow,promethee_net_flow,promethee_rank,mean_pairwise_comparable_weight_fraction,coverage_limited_rank_flag,robustness_mean_rank,robustness_sd_rank,robustness_best_rank,robustness_worst_rank,robustness_top10_probability,robustness_top_quartile_probability,top_10,top_quartile
1507805,Senador José Porfírio,routing_ready_reachable,0.2760559824699222,0.0155845136265541,0.2604714688433681,1,0.9968919968919968,False,3.6659,6.885555692171837,1,43,0.9326,0.9887,True,True
1506401,Santa Cruz do Arari,routing_ready_reachable,0.3066891293609011,0.04828008104475,0.2584090483161511,2,0.9968919968919968,False,9.4599,15.835864106198942,1,112,0.7962,0.911,True,True
1506583,Santa Maria das Barreiras,routing_ready_reachable,0.2435619902439797,0.0248969830341221,0.2186650072098575,3,0.9968919968919968,False,8.9445,11.466273141260851,1,59,0.8161,0.9396,True,True
1501253,Bannach,routing_ready_reachable,0.2409790370790447,0.0231463323577738,0.2178327047212709,4,0.9968919968919968,False,8.5565,10.797222223794416,2,48,0.8377,0.9473,True,True
1508050,Trairão,routing_ready_reachable,0.2308400122338436,0.0223513233103889,0.2084886889234546,5,0.9968919968919968,False,8.5822,8.240488041372307,1,69,0.7567,0.985,True,True
1505635,Piçarra,routing_ready_reachable,0.2175486736154657,0.0254090392540216,0.192139634361444,6,0.9968919968919968,False,12.2761,11.880129157126197,3,57,0.7267,0.8955,True,True
1505551,Pau D'Arco,routing_ready_reachable,0.2093671054434216,0.0330263080189327,0.1763407974244889,7,0.9968919968919968,False,16.2322,15.017519207911803,4,81,0.6253,0.8203,True,True
1501105,Bagre,routing_ready_reachable,0.182348518332359,0.0152341483008708,0.1671143700314881,8,0.9968919968919968,False,8.4177,5.227105002771611,1,35,0.6091,1.0,True,True
1505494,Palestina do Pará,routing_ready_reachable,0.1889077957996039,0.0401166614776595,0.1487911343219443,9,0.9968919968919968,False,22.9103,17.876326633567647,6,95,0.3957,0.7393,True,True
1507755,Sapucaia,routing_ready_reachable,0.19139876026628,0.0512968744076578,0.1401018858586221,10,0.9968919968919968,False,27.0369,23.09204924622325,7,117,0.3194,0.686,True,True
1502608,Colares,routing_ready_reachable,0.1824187138773285,0.047423384314104,0.1349953295632244,11,0.9968919968919968,False,26.0716,20.011143731431243,3,98,0.2731,0.6828,False,True
1502764,Cumaru do Norte,routing_ready_reachable,0.1484501648562393,0.0319844988397119,0.1164656660165274,12,0.9968919968919968,False,21.6931,15.833082845422112,1,61,0.299,0.739,False,True
1501006,Aveiro,routing_ready_reachable,0.1488841045152438,0.0335002633018987,0.115383841213345,13,0.9968919968919968,False,18.2403,14.380666045423624,1,95,0.337,0.8748,False,True
1500131,Abel Figueiredo,routing_ready_reachable,0.1739339579536638,0.0595144598317478,0.1144194981219159,14,0.9968919968919968,False,35.5876,27.13289749068462,9,123,0.1231,0.5827,False,True
1500305,Afuá,no_primary_routing_ready_origin,0.129699332561422,0.0188381845457153,0.1108611480157066,15,0.5555555555555555,True,22.1485,15.13507343061143,1,111,0.2688,0.805,False,True
1503408,Inhangapi,routing_ready_reachable,0.1754784296476815,0.0647958846664149,0.1106825449812666,16,0.9968919968919968,False,36.3052,27.974374934214357,1,129,0.1346,0.5629,False,True
1504000,Limoeiro do Ajuru,routing_ready_reachable,0.1382123515479589,0.0333298567163113,0.1048824948316475,17,0.9968919968919968,False,24.0608,15.240462701637371,1,99,0.1914,0.7181,False,True
1503754,Jacareacanga,routing_ready_reachable,0.130150332957818,0.0268026031129,0.1033477298449179,18,0.9968919968919968,False,21.0868,8.126786927193304,3,60,0.0926,0.9592,False,True
1504752,Mojuí dos Campos,routing_ready_reachable,0.1267037450489704,0.0296279599694052,0.0970757850795652,19,0.9968919968919968,False,23.5685,9.80133193754808,5,59,0.0639,0.8786,False,True
1506005,Prainha,routing_ready_reachable,0.1253686935528752,0.029902330406862,0.0954663631460132,20,0.9968919968919968,False,23.9343,11.858801942439213,1,57,0.1357,0.8168,False,True
1505031,Novo Progresso,routing_ready_reachable,0.1350586974470055,0.0403414108105516,0.0947172866364539,21,0.9968919968919968,False,31.2187,21.87511989247145,2,111,0.1205,0.678,False,True
1507961,Terra Alta,routing_ready_reachable,0.1590856655050726,0.0656583197079649,0.0934273457971076,22,0.9968919968919968,False,43.2309,29.20469115039569,7,126,0.0273,0.4634,False,True
1502509,Chaves,routing_ready_reachable,0.1453460835907324,0.0528958119094076,0.0924502716813248,23,0.9968919968919968,False,30.2522,27.110887022744205,1,133,0.239,0.6926,False,True
1504455,Medicilândia,routing_ready_reachable,0.1188289371406901,0.0330125611051966,0.0858163760354935,24,0.9968919968919968,False,30.4788,10.751713842918251,9,71,0.0023,0.7321,False,True
1505650,Placas,routing_ready_reachable,0.1169931648591368,0.0330221171526215,0.0839710477065152,25,0.9968919968919968,False,31.4444,9.77725465762245,12,69,0.0,0.7381,False,True
1501451,Belterra,routing_ready_reachable,0.1155407104612524,0.0323503667186122,0.0831903437426402,26,0.9968919968919968,False,31.9633,8.26043298562491,12,61,0.0,0.7139,False,True
1500404,Alenquer,routing_ready_reachable,0.1181454200592501,0.0354434242389049,0.0827019958203452,27,0.9968919968919968,False,31.9352,15.034699895907472,5,80,0.0467,0.6426,False,True
1504802,Monte Alegre,routing_ready_reachable,0.1177555920283144,0.0353142318466999,0.0824413601816144,28,0.9968919968919968,False,31.9256,14.838923971771,3,77,0.0589,0.6255,False,True
1504505,Melgaço,routing_ready_reachable,0.131368711478716,0.0532947769942597,0.0780739344844562,29,0.9968919968919968,False,36.4381,27.71346186224305,2,134,0.14,0.6191,False,True
1501725,Brasil Novo,routing_ready_reachable,0.1088441499668818,0.0363320281681038,0.072512121798778,30,0.9968919968919968,False,39.6306,9.782450799262929,12,74,0.0,0.3855,False,True
1502806,Curralinho,routing_ready_reachable,0.1261161940891192,0.05406606758529,0.0720501265038291,31,0.9968919968919968,False,40.6472,28.037320345567977,3,136,0.0923,0.5638,False,True
1504901,Muaná,routing_ready_reachable,0.1243425400395037,0.0523701998569333,0.0719723401825703,32,0.9968919968919968,False,39.6164,26.646299012057938,4,130,0.0899,0.5725,False,True
1500347,Água Azul do Norte,routing_ready_reachable,0.1099526695148426,0.038534277409048,0.0714183921057945,33,0.9968919968919968,False,35.4835,16.49777947937237,8,74,0.01,0.493,False,True
1503101,Gurupá,routing_ready_reachable,0.1238247825307667,0.0545534752544646,0.0692713072763021,34,0.9968919968919968,False,43.8494,27.98831755643772,5,138,0.06,0.5159,False,True
1502004,Cachoeira do Arari,routing_ready_reachable,0.1212189014923471,0.0519575553693765,0.0692613461229705,35,0.9968919968919968,False,42.0831,25.618594699748847,3,128,0.0446,0.5223,False,True
1505205,Oeiras do Pará,routing_ready_reachable,0.1082106447837799,0.038962660740665,0.0692479840431148,36,0.9968919968919968,False,40.1633,10.619116399682223,13,91,0.0,0.4319,False,True
1500859,Anapu,routing_ready_reachable,0.1065958034349605,0.0376553368372965,0.0689404665976639,37,0.9968919968919968,False,35.6875,15.183433200366771,10,73,0.0012,0.5003,False,False
1507706,São Sebastião da Boa Vista,routing_ready_reachable,0.1226567057769322,0.0547610467598392,0.0678956590170929,38,0.9968919968919968,False,45.775,27.966661849423502,6,137,0.0407,0.4833,False,False
1503044,Floresta do Araguaia,routing_ready_reachable,0.109183342425712,0.0413533877327179,0.067829954692994,39,0.9968919968919968,False,37.9472,18.483955533380836,8,84,0.0095,0.4585,False,False
1500701,Anajás,routing_ready_reachable,0.1224893171030487,0.0546903226475729,0.0677989944554758,40,0.9968919968919968,False,45.9438,27.53337323249732,7,135,0.0295,0.4817,False,False
1505106,Óbidos,routing_ready_reachable,0.109716467694282,0.0452264873103691,0.0644899803839128,41,0.9968919968919968,False,45.2504,19.41013394698759,8,106,0.0027,0.3896,False,False
1505809,Portel,routing_ready_reachable,0.1177115345875332,0.0545258055865695,0.0631857290009637,42,0.9968919968919968,False,48.8326,26.228442142834183,9,132,0.0017,0.409,False,False
1508159,Uruará,routing_ready_reachable,0.1038217525264822,0.0406476144242988,0.0631741381021833,43,0.9968919968919968,False,46.1141,12.002069871068082,17,86,0.0,0.2385,False,False
1502707,Conceição do Araguaia,routing_ready_reachable,0.1130227374705133,0.0524545779296688,0.0605681595408445,44,0.9968919968919968,False,44.8208,26.540363361491497,3,114,0.0683,0.4101,False,False
1505304,Oriximiná,routing_ready_reachable,0.107369220299837,0.0478102020542398,0.0595590182455972,45,0.9968919968919968,False,48.5713,21.335184937328293,6,109,0.0089,0.3324,False,False
1505700,Ponta de Pedras,routing_ready_reachable,0.1152198267913688,0.0567953813430295,0.0584244454483392,46,0.9968919968919968,False,52.9885,27.239011871762163,7,138,0.0026,0.3313,False,False
1507508,São João do Araguaia,routing_ready_reachable,0.0972884785280911,0.0406739013772924,0.0566145771507987,47,0.9968919968919968,False,40.9739,14.399875651893662,11,78,0.0,0.4284,False,False
1500503,Almeirim,routing_ready_reachable,0.1133740034340386,0.0584698038002372,0.0549041996338014,48,0.9968919968919968,False,51.5249,27.222255233356403,1,131,0.0295,0.3451,False,False
1505064,Novo Repartimento,routing_ready_reachable,0.092947860888558,0.0422702183270907,0.0506776425614673,49,0.9968919968919968,False,43.2971,13.571471238963,11,78,0.0,0.3651,False,False
1503705,Itupiranga,routing_ready_reachable,0.0931760064656218,0.0440245582286044,0.0491514482370173,50,0.9968919968919968,False,44.8364,15.046070418551151,11,85,0.0,0.3505,False,False
1501758,Brejo Grande do Araguaia,routing_ready_reachable,0.0893483090245197,0.0439777749511427,0.0453705340733769,51,0.9968919968919968,False,47.9816,14.985748611263972,17,84,0.0,0.2994,False,False
1508084,Tucumã,routing_ready_reachable,0.1047356555949747,0.0633949852910517,0.041340670303923,52,0.9968919968919968,False,56.5102,30.964791230686505,5,126,0.0168,0.3312,False,False
1507458,São Geraldo do Araguaia,routing_ready_reachable,0.0896389384377891,0.0505175211064076,0.0391214173313815,53,0.9968919968919968,False,53.1087,19.44903813328568,18,104,0.0,0.2639,False,False
1506161,Rio Maria,routing_ready_reachable,0.093385608073477,0.0557788716302153,0.0376067364432616,54,0.9968919968919968,False,56.6011,24.992786535118483,12,118,0.0,0.2888,False,False
1506302,Salvaterra,routing_ready_reachable,0.1057391113853852,0.0683269163175051,0.0374121950678801,55,0.9968919968919968,False,64.8174,29.32040683960575,5,141,0.0018,0.1906,False,False
1500206,Acará,routing_ready_reachable,0.092442229439008,0.0584533068964007,0.0339889225426072,56,0.9968919968919968,False,54.7318,22.582702866574675,2,105,0.0167,0.2268,False,False
1507466,São João da Ponta,routing_ready_reachable,0.0953319776493714,0.061773235083039,0.0335587425663323,57,0.9968919968919968,False,56.2399,23.749167311508007,1,115,0.0247,0.2163,False,False
1502954,Eldorado do Carajás,routing_ready_reachable,0.0828606974099111,0.0502130510717404,0.0326476463381706,58,0.9968919968919968,False,57.2746,16.273229391857036,22,94,0.0,0.1857,False,False
1501576,Bom Jesus do Tocantins,routing_ready_reachable,0.0798045085801718,0.0477173047908903,0.0320872037892815,59,0.9968919968919968,False,56.1793,12.827905187909698,27,89,0.0,0.115,False,False
1503002,Faro,routing_ready_reachable,0.1026266104234149,0.0727691469275037,0.0298574634959112,60,0.9968919968919968,False,68.6332,29.384125948545748,12,136,0.0,0.1546,False,False
1501782,Breu Branco,routing_ready_reachable,0.0783957766813389,0.0501202807815639,0.0282754958997749,61,0.9968919968919968,False,57.1548,13.2583195375583,14,94,0.0,0.0785,False,False
1507201,São Domingos do Capim,routing_ready_reachable,0.0855416253198621,0.0592667463304031,0.0262748789894589,62,0.9968919968919968,False,58.6617,20.728952050453483,8,108,0.0015,0.1606,False,False
1501956,Cachoeira do Piriá,routing_ready_reachable,0.0801628711519185,0.053888890446974,0.0262739807049444,63,0.9968919968919968,False,58.2177,15.859833123649182,16,98,0.0,0.1042,False,False
1507979,Terra Santa,routing_ready_reachable,0.101645842018277,0.0781077985338275,0.0235380434844495,64,0.9968919968919968,False,72.8109,30.37184454704718,13,139,0.0,0.1243,False,False
1506187,Rondon do Pará,routing_ready_reachable,0.0743209855923976,0.0527144719475241,0.0216065136448735,65,0.9968919968919968,False,63.5354,14.33247176309794,30,100,0.0,0.0409,False,False
1507151,São Domingos do Araguaia,routing_ready_reachable,0.0770842729848294,0.0563492114846035,0.0207350615002259,66,0.9968919968919968,False,66.1676,18.710604218998423,26,109,0.0,0.1072,False,False
1503093,Goianésia do Pará,routing_ready_reachable,0.0693472606053758,0.0540436565174484,0.0153036040879273,67,0.9968919968919968,False,67.1378,12.159235632226228,35,98,0.0,0.0008,False,False
1506906,Santarém Novo,routing_ready_reachable,0.0775020050315728,0.0656097074178671,0.0118922976137057,68,0.9968919968919968,False,71.4015,22.886526554940573,9,122,0.0004,0.0819,False,False
1503309,Igarapé-Miri,routing_ready_reachable,0.0691965331060573,0.0576464136559275,0.0115501194501297,69,0.9968919968919968,False,69.7996,12.43613444121604,32,103,0.0,0.0023,False,False
1508035,Tracuateua,routing_ready_reachable,0.0732395922983109,0.0626990911021862,0.0105405011961246,70,0.9968919968919968,False,71.5964,18.6415746931422,15,113,0.0,0.0441,False,False
1503507,Irituia,routing_ready_reachable,0.0790565763007194,0.0687770176534371,0.0102795586472822,71,0.9968919968919968,False,73.1881,25.35841711128672,6,127,0.0013,0.0912,False,False
1502772,Curionópolis,routing_ready_reachable,0.079339370276469,0.070041307017149,0.0092980632593199,72,0.9968919968919968,False,73.6389,26.878688710389103,20,131,0.0,0.1352,False,False
1500909,Augusto Corrêa,routing_ready_reachable,0.0658349776379233,0.0573183331445815,0.0085166444933417,73,0.9968919968919968,False,71.4947,10.144060918093972,37,100,0.0,0.0,False,False
1501907,Bujaru,routing_ready_reachable,0.073690617944674,0.0663613325816063,0.0073292853630676,74,0.9968919968919968,False,74.7412,20.97212012553808,12,125,0.0,0.0456,False,False
1503457,Ipixuna do Pará,routing_ready_reachable,0.0647143373152477,0.0576556464275558,0.0070586908876918,75,0.9968919968919968,False,73.4395,9.813640494230498,43,103,0.0,0.0,False,False
1508126,Ulianópolis,routing_ready_reachable,0.0660892732160122,0.0595430007520824,0.0065462724639297,76,0.9968919968919968,False,74.3538,14.752729427465272,36,110,0.0,0.0001,False,False
1504307,Maracanã,routing_ready_reachable,0.0692972931584055,0.062960751621532,0.0063365415368734,77,0.9968919968919968,False,74.2114,15.532131535626393,27,116,0.0,0.0092,False,False
1504950,Nova Esperança do Piriá,routing_ready_reachable,0.0613918299474451,0.0597575439605002,0.0016342859869448,78,0.9968919968919968,False,78.0743,9.384635289130896,45,106,0.0,0.0,False,False
1504604,Mocajuba,routing_ready_reachable,0.0631543050253212,0.0622939438415563,0.0008603611837649,79,0.9968919968919968,False,79.296,14.429635615634892,38,113,0.0,0.0,False,False
1508001,Tomé-Açu,routing_ready_reachable,0.0590822639265539,0.0613317931548931,-0.0022495292283392,80,0.9968919968919968,False,81.165,9.630668460703982,42,114,0.0,0.0,False,False
