quantile,total_travel_time_min
0.01,4.95560687157
0.05,29.2475934215
0.1,64.48464040799999
0.25,121.44707687500001
0.5,257.81529475
0.75,491.55768795
0.9,635.90121393
0.95,711.55880582
0.99,813.259973749
