service_id,service_name,service_type,provider_source,municipality_code,municipality_name,address_public,latitude,longitude,capacity,capacity_type,capacity_source,reference_date,validation_status,redistribution_status,functional_records,service_ids,service_names
CNES-2331144,UNIDADE DE SAUDE DA FAMILIA EDSON BOTELHO,health,CNES,150360.0,,"AV MARECHAL RONDON, S/N",-4.2757504938006585,-55.98973721265793,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2331144,UNIDADE DE SAUDE DA FAMILIA EDSON BOTELHO
CNES-2331152,UNIDADE DE SAUDE DA FAMILIA SAO TOME,health,CNES,150360.0,,"AV CARLETO BERMEGUY DECIMA QUARTA, S/N",-4.255983882362783,-55.97855240106583,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2331152,UNIDADE DE SAUDE DA FAMILIA SAO TOME
CNES-2331160,UNIDADE DE SAUDE DA FAMILIA DE MIRITITUBA,health,CNES,150360.0,,"RUA PRINCIPAL, S/N",-4.298324,-55.96304,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2331160,UNIDADE DE SAUDE DA FAMILIA DE MIRITITUBA
CNES-2331179,UNIDADE DE SAUDE DA FAMILIA CAMPO VERDE KM 30,health,CNES,150360.0,,"RODOVIA SANTAREM CUIABA, S/N",-3.7576246,-54.823387,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2331179,UNIDADE DE SAUDE DA FAMILIA CAMPO VERDE KM 30
CNES-2331292,HOSPITAL MUNICIPAL DE RUROPOLIS,health,CNES,150619.0,,"TV DR OSVALDO CRUZ, 80",-4.0983834,-54.9093551,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2331292,HOSPITAL MUNICIPAL DE RUROPOLIS
CNES-2331845,CENTRO DE SAUDE DE CURUA DR ALMIR GABRIEL,health,CNES,150285.0,,"AV 07 DE SETEMBRO, S/N",-1.88816932407086,-55.118657648563385,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2331845,CENTRO DE SAUDE DE CURUA DR ALMIR GABRIEL
CNES-2333031,HOSPITAL DE CLINICAS GASPAR VIANA,health,CNES,150140.0,,"ALFERES COSTA, S/N",-1.4103414,-48.4799141,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2333031,HOSPITAL DE CLINICAS GASPAR VIANA
CNES-2337339,HOSPITAL PRONTO SOCORRO MUNICIPAL MARIO PINOTTI,health,CNES,150140.0,,"TV 14 DE MARCO, 500",-1.4396878,-48.4808636,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2337339,HOSPITAL PRONTO SOCORRO MUNICIPAL MARIO PINOTTI
CNES-2504901,HOSPITAL MUNICIPAL DR PEDRO PAULO BARCAUI,health,CNES,150613.0,,"AV BELO HORIZONTE, S/N",-8.0472003,-50.0367958,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2504901,HOSPITAL MUNICIPAL DR PEDRO PAULO BARCAUI
CNES-2615746,HOSPITAL GERAL DE PARAUAPEBAS MANOEL EVALDO BENEVIDES ALVES,health,CNES,150553.0,,"RUA A QD 07 LT ESPECIAL, 433",-6.062351523742029,-49.90984593338561,,,,2026-08-20,function_validated_from_cnes_service_165,review_required,1,CNES-2615746,HOSPITAL GERAL DE PARAUAPEBAS MANOEL EVALDO BENEVIDES ALVES
