municipality_code,municipality_name,som_profile,promethee_rank,promethee_net_flow,top_10,top_quartile,robustness_top_quartile_probability,e2sfca_score__creas,e2sfca_score__health,e2sfca_score__specialized_justice,e2sfca_score__specialized_security,e2sfca_percentile__creas,e2sfca_percentile__health,e2sfca_percentile__specialized_justice,e2sfca_percentile__specialized_security,e2sfca_services_observed,e2sfca_complete_service_coverage,e2sfca_mean_within_service_percentile_complete_only,integrated_descriptive_pattern,promethee_top_quartile_and_lower_e2sfca
1507805,Senador José Porfírio,4,1,0.2604714688433681,True,True,0.9887,2.4169987937695147e-06,0.0,0.0,0.0,0.03496503496503497,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.12062937062937064,Lower E2SFCA accessibility quartile,True
1506401,Santa Cruz do Arari,3,2,0.2584090483161511,True,True,0.911,0.0,0.0,0.0,0.0,0.01048951048951049,0.1048951048951049,0.24125874125874125,0.10139860139860139,4,True,0.11451048951048952,Lower E2SFCA accessibility quartile,True
1506583,Santa Maria das Barreiras,3,3,0.2186650072098575,True,True,0.9396,5.238586325095088e-05,4.665703105678468e-05,0.0,8.311113716103114e-06,0.6783216783216783,0.9440559440559441,0.24125874125874125,0.8251748251748252,4,True,0.6722027972027973,Higher E2SFCA accessibility quartile,False
1501253,Bannach,3,4,0.2178327047212709,True,True,0.9473,4.344715083692076e-05,1.305681690154416e-05,0.0,6.153310086682178e-06,0.5174825174825175,0.5874125874125874,0.24125874125874125,0.7202797202797203,4,True,0.5166083916083917,Intermediate E2SFCA accessibility,False
1508050,Trairão,3,5,0.2084886889234546,True,True,0.985,0.0,0.0001012913643053,0.0,0.0,0.01048951048951049,0.9790209790209791,0.24125874125874125,0.10139860139860139,4,True,0.3330419580419581,Lower E2SFCA accessibility quartile,True
1505635,Piçarra,3,6,0.192139634361444,True,True,0.8955,2.5076834529792732e-05,2.531644769107268e-06,6.244949508304206e-07,2.6720862173029507e-06,0.17482517482517482,0.23776223776223776,0.6013986013986014,0.34965034965034963,4,True,0.3409090909090909,Lower E2SFCA accessibility quartile,True
1505551,Pau D'Arco,3,7,0.1763407974244889,True,True,0.8203,6.950844733387018e-05,1.427814490712812e-05,0.0,8.769852754172259e-06,0.8531468531468531,0.6153846153846154,0.24125874125874125,0.8461538461538461,4,True,0.638986013986014,Higher E2SFCA accessibility quartile,False
1501105,Bagre,4,8,0.1671143700314881,True,True,1.0,2.3494042015517757e-06,0.0,0.0,2.3494042015517757e-06,0.027972027972027972,0.1048951048951049,0.24125874125874125,0.3146853146853147,4,True,0.1722027972027972,Lower E2SFCA accessibility quartile,True
1505494,Palestina do Pará,3,9,0.1487911343219443,True,True,0.7393,3.024862892126392e-05,3.335564750505324e-06,2.534146450805934e-06,2.6561769993518284e-06,0.3076923076923077,0.26573426573426573,0.7832167832167832,0.34265734265734266,4,True,0.42482517482517484,Intermediate E2SFCA accessibility,False
1507755,Sapucaia,1,10,0.1401018858586221,True,True,0.686,4.9393503959154735e-05,1.6099949719882845e-05,0.0,1.4616894776670306e-05,0.6363636363636364,0.6573426573426573,0.24125874125874125,0.9440559440559441,4,True,0.6197552447552448,Higher E2SFCA accessibility quartile,False
